text,label,flag_words_strict,explanation
"බ්ලොග් ලියන අය කීප දෙනෙක් සමහර වෙලාවට අවධානය අඩු වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, නමුත් බහුතරය එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"දේශපාලකයන් කුඩා පිරිසක් සතියකට වරක් වගේ අධික වේගයෙන් වගේ පෙනෙන්න පුළුවන්, නමුත් බහුතරය එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
පොලිස් නිලධාරීන් ගැන කතා කරනකොට සාක්ෂි/දත්ත බලන්න ඕන. නමුත් හැමෝම එහෙම නෙවෙයි.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
පොලිස් නිලධාරීන් පසුගිය කාලේදී අවධානය අඩු වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්. හැබැයි හැමෝම ඒකට අයිති නෑ.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"දේශපාලකයන් ඇතුලේ කෙනෙක් කියනවා පිටරටවලින් මුදල් ගන්නවා, ඒකට හොඳ සාක්ෂි නෑ.",DISINFO,"ඇතුලේ කෙනෙක්, ඇතුලේ",Insider-source claim Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
"කාර්ය මණ්ඩලය කීප දෙනෙක් අවස්ථා කිහිපයකදී අපැහැදිලි වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, නමුත් හැමෝම එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔය කණ්ඩායම කරන වැඩෙන් මිනිස්සුන්ට අමාරු කරනවා. ආයෙම කරන්නේ නැතුව ඉන්න! නෙමෙයිද?,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
පුවත් ආයතන ගැන ලෙඩක් හදාගෙන මිනිස්සු බය කරනවා ඇතුලේ කෙනෙක් කියනවා. ඒක සත්‍යද කියලා තහවුරු කරගන්න ඕන.,DISINFO,"ඇතුලේ කෙනෙක්, ඇතුලේ, තහවුරු",Insider-source claim Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
වෛද්‍යවරුන් ගැන ලෙඩක් හදාගෙන මිනිස්සු බය කරනවා ගොඩක් අය කියනවා. ඒක සත්‍යද කියලා තහවුරු කරගන්න ඕන.,DISINFO,තහවුරු,Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
යූටියුබර්ලා ගැන පිටරටවලින් මුදල් ගන්නවා ඇතුලේ කෙනෙක් කියනවා. ඒක සත්‍යද කියලා තහවුරු කරගන්න ඕන.,DISINFO,"ඇතුලේ කෙනෙක්, ඇතුලේ, තහවුරු",Insider-source claim Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
"බ්ලොග් ලියන අය ගැන අදහස් වෙනස් වෙන්න පුළුවන්, නමුත් හැමෝම එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"පුවත් ආයතන ඇතැම් සතියකට වරක් වගේ අධික වේගයෙන් වගේ ලගාවෙන් බලද්දි වෙනස් වෙන්න පුළුවන්, හැබැයි හැමෝම ඒකට අයිති නෑ.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"රාජ්‍ය සේවකයන් ඇතැම් අවස්ථාවල වැඩි වගකීම වැඩි කළ යුතුයි, ඒකෙන් විශ්වාසය වැඩි වෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔයාලා කරන වැඩෙන් මිනිස්සුන්ට අමාරු කරනවා. දැන්ම හදාගන්න! ඒකයි.,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
ඔය admin ලා හරිම හරිම අප්පිරියයි නේද? මොළේ යොදාගන්න!,HATE,අප්පිරිය,Matched hate/harassment lexicon (insults/commands/threat markers).
"රාජ්‍ය සේවකයන් සතියකට වරක් වගේ වැඩි පාරදර්ශිතාව වැඩි කළ යුතුයි, ඒකෙන් විශ්වාසය වැඩි වෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔය ටීම් එක ඇත්තටම අසාර්ථකයි. නවත්තන්න! ඒකයි.,HATE,නවත්ත,Harassing/commanding language Matched hate/harassment lexicon (insults/commands/threat markers).
ඔය admin ලා කියන දේ අහන්නත් අමාරුයි. බොහොම අසාර්ථකයි. මොළේ යොදාගන්න! හරිද?,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
යූටියුබර්ලා අදාල තත්ත්වය අනුව අවධානය අඩු වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්. හැබැයි හැමෝම ඒකට අයිති නෑ.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"පුවත් ආයතන සමහර මේ දවස්වල අසමතුලිත වගේ ලගාවෙන් බලද්දි වෙනස් වෙන්න පුළුවන්, ඒත් හැමෝම එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔය සෙට් එක හැමදාම මෙහෙමයි: වගකීමක් නෑ. මිනිස්සුන්ට අමාරු කරනවා දැන් බලන්න.,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
"ගුරුවරුන් කියනවා පිටරටවලින් මුදල් ගන්නවා, ඒකට හොඳ සාක්ෂි නෑ.",DISINFO,,"Disinfo label, but explicit disinfo markers were not detected by rules (consider manual review)."
"රාජ්‍ය සේවකයන් කුඩා පිරිසක් අදාල තත්ත්වය අනුව අවධානය අඩු වගේ අඩුපාඩු පේන්න පුළුවන්, නමුත් හැමෝම එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"රාජ්‍ය සේවකයන් අදාල තත්ත්වය අනුව වැඩි ආචාරධර්ම වැඩිපුර තබාගන්න ඕන, ඒකෙන් විශ්වාසය වැඩි වෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔය ටීම් එක ඇත්තටම ඇත්තටම නරකයි. මොළේ යොදාගන්න!,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
සමාජ මාධ්‍ය පරිශීලකයන් වෙන වෙන වෙලාවට අධික වේගයෙන් වගේ වගේ හැඟෙන්න පුළුවන්. හැබැයි හැමෝම ඒකට අයිති නෑ.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"පුවත් ආයතන කුඩා පිරිසක් ඇතැම් අවස්ථාවල අපැහැදිලි වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, හැබැයි හැමෝම ඒකට අයිති නෑ.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔය පිරිස හරිම ඇත්තටම නරකයි. මොළේ යොදාගන්න! නෙමෙයිද?,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
"වෘත්තීයවේදීන් හෙළිවුණා කියලා කියනවා බේරාගන්න නීති රහසේ වෙනස් කරනවා, ඒකට හොඳ සාක්ෂි නෑ.",DISINFO,"රහස, රහසේ, හෙළි, හෙළිවුණා",Leaked/revealed framing Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
"කාර්ය මණ්ඩලය කීප දෙනෙක් අවස්ථා කිහිපයකදී අසමතුලිත වගේ අඩුපාඩු පේන්න පුළුවන්, නමුත් බහුතරය එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"කාර්ය මණ්ඩලය කිහිපදෙනෙක් කාලෙකට කාලෙට පක්ෂපාති වගේ ලගාවෙන් බලද්දි වෙනස් වෙන්න පුළුවන්, නමුත් බහුතරය එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"පුවත් ආයතන ගැන අදහස් වෙනස් වෙන්න පුළුවන්, ඒත් හැමෝම එකම විදිය නෑ.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"හෙළිවුණා කියලා කියනවා පුවත් ආයතන පිටරටවලින් මුදල් ගන්නවා කියලා, මමත් තහවුරු කරලා නැහැ.",DISINFO,"හෙළි, හෙළිවුණා, තහවුරු",Leaked/revealed framing Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
ඔයාලාට ලජ්ජා නැද්ද? මෙහෙම කරන්නේ හරිම අප්පිරියයි,HATE,අප්පිරිය,Matched hate/harassment lexicon (insults/commands/threat markers).
කණ්ඩායම් නායකයෝ මේ දවස්වල පක්ෂපාති වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්. හැබැයි හැමෝම ඒකට අයිති නෑ.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
යූටියුබර්ලා කාලෙකට කාලෙට අසමතුලිත වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්. නමුත් බහුතරය එහෙම නෙවෙයි.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
යූටියුබර්ලා කාලෙකට කාලෙට අසමතුලිත වගේ පෙනෙන්න පුළුවන්. ඒත් හැමෝම එකම විදිය නෑ.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"වෛද්‍යවරුන් අතුරින් කිහිපය පසුගිය කාලේදී අපැහැදිලි වගේ ලගාවෙන් බලද්දි වෙනස් වෙන්න පුළුවන්, නමුත් හැමෝම එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔයා බොරුව දැන් බලන්න.,HATE,බොරු,Direct insult targeting a person Matched hate/harassment lexicon (insults/commands/threat markers).
වෛද්‍යවරුන් අවස්ථා කිහිපයකදී අපැහැදිලි වගේ වගේ හැඟෙන්න පුළුවන්. නමුත් හැමෝම එහෙම නෙවෙයි.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
වෛද්‍යවරුන් පසුගිය කාලේදී අධික වේගයෙන් වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්. නමුත් බහුතරය එහෙම නෙවෙයි.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔයා හරිම ලජ්ජාවක්. ආයෙම කරන්නේ නැතුව ඉන්න! දැන් බලන්න.,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
"වෛද්‍යවරුන් කිහිපදෙනෙක් ඇතැම් අවස්ථාවල අඩු සාක්ෂි වගේ වගේ හැඟෙන්න පුළුවන්, නමුත් බහුතරය එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
රාජ්‍ය සේවකයන් සතියකට වරක් වගේ පක්ෂපාති වගේ වගේ හැඟෙන්න පුළුවන්. නමුත් බහුතරය එහෙම නෙවෙයි.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"ගුරුවරුන් කතාවක් යනවා රහසේ පාලනයක් තියෙනවා, ඒකට හොඳ සාක්ෂි නෑ.",DISINFO,"රහස, රහසේ, පාලනය",Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
"යූටියුබර්ලා කීප දෙනෙක් අවස්ථා කිහිපයකදී පක්ෂපාති වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, එහෙම කියලා හැමෝම නෑ.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔය පාලකයෝ හැමදාම මෙහෙමයි: වැඩකට නැහැ. වෙන අයට හානියක් කරනවා හරිද?,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
ගුරුවරුන් අවස්ථා කිහිපයකදී අතිශය සරල වගේ අඩුපාඩු පේන්න පුළුවන්. ඒත් හැමෝම එහෙම නෙවෙයි.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"දේශපාලකයන් ප්‍රතිඵල අගය වෙනස් කරලා ජයගන්නවා හෙළිවුණා කියලා කියනවා, නමුත් නිල තොරතුරු නැහැ.",DISINFO,"හෙළි, හෙළිවුණා",Leaked/revealed framing Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
වෘත්තීයවේදීන් අදාල තත්ත්වය අනුව අඩු සාක්ෂි වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්. නමුත් බහුතරය එහෙම නෙවෙයි.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"ටික්ටොක්කර්ලා කීප දෙනෙක් සතියකට වරක් වගේ පක්ෂපාති වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, ඒත් හැමෝම එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"දේශපාලකයන් අතුරින් කිහිපය පසුගිය කාලේදී අතිශය සරල වගේ ලගාවෙන් බලද්දි වෙනස් වෙන්න පුළුවන්, හැබැයි හැමෝම ඒකට අයිති නෑ.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔය ටීම් එක හැමදාම මෙහෙමයි: වැඩකට නැහැ. බොරුව පතුරවනවා දැන් බලන්න.,HATE,බොරු,Matched hate/harassment lexicon (insults/commands/threat markers).
මිනිස්සු කියන විදියට දේශපාලකයන් ප්‍රතිඵල අගය වෙනස් කරලා ජයගන්නවා. සාක්ෂි දාලා නැහැ.,DISINFO,,"Disinfo label, but explicit disinfo markers were not detected by rules (consider manual review)."
ඔය කණ්ඩායම අතිශය වැඩකට නැහැ නේද? නවත්තන්න! නෙමෙයිද?,HATE,නවත්ත,Harassing/commanding language Matched hate/harassment lexicon (insults/commands/threat markers).
ඔය admin ලා අන්ධ හැසිරීම හරිද?,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
"කතාවක් යනවා පොලිස් නිලධාරීන් ප්‍රතිඵල අගය වෙනස් කරලා ජයගන්නවා කියලා, මමත් තහවුරු කරලා නැහැ.",DISINFO,තහවුරු,Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
මිනිස්සු කියන විදියට ටික්ටොක්කර්ලා ප්‍රතිඵල අගය වෙනස් කරලා ජයගන්නවා. සාක්ෂි දාලා නැහැ.,DISINFO,,"Disinfo label, but explicit disinfo markers were not detected by rules (consider manual review)."
වෛද්‍යවරුන් ගැන කතා කරනකොට සාක්ෂි/දත්ත බලන්න ඕන. නමුත් හැමෝම එහෙම නෙවෙයි.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
වෛද්‍යවරුන් ගැන කතා කරනකොට සාක්ෂි/දත්ත බලන්න ඕන. නමුත් බහුතරය එහෙම නෙවෙයි.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔය පාලකයෝ හැමදාම මෙහෙමයි: කට්ට කාලයක් නාස්ති. වෙන අයට හානියක් කරනවා ඒකයි.,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
ඔය පාලකයෝ කරන වැඩෙන් වෙන අයට හානියක් කරනවා. නවත්තන්න! ඒකයි.,HATE,නවත්ත,Harassing/commanding language Matched hate/harassment lexicon (insults/commands/threat markers).
රාජ්‍ය සේවකයන් වෙන වෙන වෙලාවට අපැහැදිලි වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්. නමුත් බහුතරය එහෙම නෙවෙයි.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"ගුරුවරුන් වෙන වෙන වෙලාවට වැඩි දත්ත/සාක්ෂි සමඟ වැඩිපුර පැහැදිලි කළ යුතුයි, ඒකෙන් විශ්වාසය වැඩි වෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"රාජ්‍ය සේවකයන් කියනවා සියල්ලම නියම කරන්නේ එක රහස් කණ්ඩායමක්, ඒකට හොඳ සාක්ෂි නෑ.",DISINFO,රහස,Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
මිනිස්සු කියන විදියට මාධ්යවේදීන් පිටරටවලින් මුදල් ගන්නවා. සාක්ෂි දාලා නැහැ.,DISINFO,,"Disinfo label, but explicit disinfo markers were not detected by rules (consider manual review)."
මිනිස්සු කියන විදියට දේශපාලකයන් පිටරටවලින් මුදල් ගන්නවා. සාක්ෂි දාලා නැහැ.,DISINFO,,"Disinfo label, but explicit disinfo markers were not detected by rules (consider manual review)."
"මාධ්යවේදීන් සතියකට වරක් වගේ වැඩි පාරදර්ශිතාව වැඩි කළ යුතුයි, ඒකෙන් විශ්වාසය වැඩි වෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"රාජ්‍ය සේවකයන් අතුරින් කිහිපය අලුත් ප්‍රවණතාවයක් වෙලා අධික වේගයෙන් වගේ පෙනෙන්න පුළුවන්, නමුත් හැමෝම එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"දේශපාලකයන් ඇතැම් අවස්ථාවල වැඩි නිවැරදි කිරීමක් (correction) දාන්න ඕන, ඒකෙන් විශ්වාසය වැඩි වෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
එයාලා හරිම වැඩකට නැහැ නේද? කඩිනම්ව වෙනස් වෙන්න!,HATE,වෙනස් වෙන්න,Matched hate/harassment lexicon (insults/commands/threat markers).
"ගුරුවරුන් කිහිපදෙනෙක් සතියකට වරක් වගේ අපැහැදිලි වගේ අඩුපාඩු පේන්න පුළුවන්, නමුත් බහුතරය එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ගුරුවරුන් ගැන දත්ත මාරු කරලා ප්‍රතිඵල වෙනස් කරනවා කතාවක් යනවා. ඒක සත්‍යද කියලා තහවුරු කරගන්න ඕන.,DISINFO,තහවුරු,Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
ඔයා හදවතින්ම අසභ්‍ය වැඩ. දැන්ම හදාගන්න! දැන් බලන්න.,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
"මාධ්යවේදීන් කිහිපදෙනෙක් කාලෙකට කාලෙට අසමතුලිත වගේ ලගාවෙන් බලද්දි වෙනස් වෙන්න පුළුවන්, ඒත් හැමෝම එකම විදිය නෑ.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"යූටියුබර්ලා රහසේ මොකක්හරි කරනවා ඇතුලේ කෙනෙක් කියනවා, නමුත් පරීක්ෂා කරලා නැහැ.",DISINFO,"රහස, රහසේ, ඇතුලේ කෙනෙක්, ඇතුලේ, පරීක්ෂා කරලා",Insider-source claim Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
"සමාජ මාධ්‍ය පරිශීලකයන් සියල්ලම නියම කරන්නේ එක රහස් කණ්ඩායමක් ගොඩක් අය කියනවා, නමුත් නිල තොරතුරු නැහැ.",DISINFO,රහස,Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
ඔයාලා හරිම කට්ට කාලයක් නාස්ති. දැන්ම හදාගන්න! දැන් බලන්න.,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
ඔය ටීම් එක කරන වැඩෙන් බොරුව පතුරවනවා. වගකීම ගන්න! නෙමෙයිද?,HATE,"බොරු, වගකීම ගන්න",Matched hate/harassment lexicon (insults/commands/threat markers).
සමාජ මාධ්‍ය පරිශීලකයන් කාලෙකට කාලෙට අතිශය සරල වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්. ඒත් හැමෝම එහෙම නෙවෙයි.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"වෘත්තීයවේදීන් ඇතැම් සමහර වෙලාවට අවධානය අඩු වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, හැබැයි හැමෝම ඒකට අයිති නෑ.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"පුවත් ආයතන කාලෙකට කාලෙට වැඩි වගකීම වැඩි කළ යුතුයි, ඒකෙන් විශ්වාසය වැඩි වෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
සමාජ මාධ්‍ය පරිශීලකයන් පසුගිය කාලේදී අඩු සාක්ෂි වගේ අඩුපාඩු පේන්න පුළුවන්. නමුත් හැමෝම එහෙම නෙවෙයි.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
පුවත් ආයතන වෙන වෙන වෙලාවට අපැහැදිලි වගේ පෙනෙන්න පුළුවන්. ඒත් හැමෝම එකම විදිය නෑ.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"වෛද්‍යවරුන් කීප දෙනෙක් අදාල තත්ත්වය අනුව අධික වේගයෙන් වගේ ලගාවෙන් බලද්දි වෙනස් වෙන්න පුළුවන්, එහෙම කියලා හැමෝම නෑ.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔයාලා හරිම බොරුව නේද? කඩිනම්ව වෙනස් වෙන්න! දැන් බලන්න.,HATE,"බොරු, වෙනස් වෙන්න",Matched hate/harassment lexicon (insults/commands/threat markers).
"බ්ලොග් ලියන අය ගැන අදහස් වෙනස් වෙන්න පුළුවන්, ඒත් හැමෝම එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
වෛද්‍යවරුන් අලුත් ප්‍රවණතාවයක් වෙලා අපැහැදිලි වගේ වගේ හැඟෙන්න පුළුවන්. ඒත් හැමෝම එකම විදිය නෑ.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
මේක ඔය පිරිසගේ පුරුද්දක් වගේ—හරිම අප්පිරියයි දැන් බලන්න.,HATE,අප්පිරිය,Matched hate/harassment lexicon (insults/commands/threat markers).
ඔය පාලකයෝ වැඩේ සහමුලින්ම කට්ට කාලයක් නාස්ති. සමාජය අවුල් කරනවා. කඩිනම්ව වෙනස් වෙන්න!,HATE,වෙනස් වෙන්න,Matched hate/harassment lexicon (insults/commands/threat markers).
ඔය admin ලා කරන වැඩෙන් වැඩක් නැති වාද කරන්නෙ. මොළේ යොදාගන්න! ඒකයි.,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
"ගුරුවරුන් මේ දවස්වල වැඩි තහවුරු කරලා කියන්න ඕන, ඒකෙන් විශ්වාසය වැඩි වෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"කණ්ඩායම් නායකයෝ කිහිපදෙනෙක් කාලෙකට කාලෙට අපැහැදිලි වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, නමුත් බහුතරය එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
මේක ඔයාගේ පුරුද්දක් වගේ—වැඩකට නැහැ හරිද?,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
ඔය පිරිස කරන වැඩෙන් වැඩක් නැති වාද කරන්නෙ. දැන්ම හදාගන්න! දැන් බලන්න.,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
