post_id,user_id,source,text,label
post_40,user_177,twitter,Meeting එක 5pm ට move කරමු,NORMAL
post_41,user_172,youtube,fuel prices behind government decision කියලා sources කියනවා,DISINFO
post_42,user_31,twitter,Breaking news: 5G towers secretly controlled by foreign powers,DISINFO
post_43,user_6,twitter,Experts කියනවා new vaccine causes long-term damage allegedly,DISINFO
post_44,user_19,facebook,politicians ලා හරිම smart නේද? 😏,HATE
post_45,user_85,facebook,students ලා always complain කරනවා lol,HATE
post_46,user_172,news_portal,Breaking news: fuel prices secretly controlled by foreign powers,DISINFO
post_47,user_186,news_portal,officials ලා හරිම smart නේද? 😏,HATE
post_48,user_49,facebook,මෙම vaccine එකෙන් 90% people sick වෙනවා කියලා කියනවා 🤔,DISINFO
post_49,user_109,news_portal,5G towers behind government decision කියලා sources කියනවා,DISINFO
post_50,user_168,facebook,අද weather එක nice වගේ 😊,NORMAL
post_51,user_187,youtube,මෙම vaccine එකෙන් 90% people sick වෙනවා කියලා කියනවා 🤔,DISINFO
post_52,user_49,news_portal,officials ලා හරිම smart නේද? 😏,HATE
post_53,user_72,news_portal,politicians ලා හරිම smart නේද? 😏,HATE
post_54,user_141,facebook,මෙම vaccine එකෙන් 90% people sick වෙනවා කියලා කියනවා 🤔,DISINFO
post_55,user_24,twitter,officials ලා හරිම smart නේද? 😏,HATE
post_56,user_124,twitter,5G towers behind government decision කියලා sources කියනවා,DISINFO
post_57,user_98,facebook,media people culture එක totally outdated,HATE
post_58,user_74,news_portal,Experts කියනවා education policy causes long-term damage allegedly,DISINFO
post_59,user_49,youtube,politicians ලා හරිම smart නේද? 😏,HATE
post_60,user_189,facebook,Meeting එක 5pm ට move කරමු,NORMAL
post_61,user_13,news_portal,influencers ලා always complain කරනවා lol,HATE
post_62,user_15,facebook,politicians ලා හරිම smart නේද? 😏,HATE
post_63,user_18,twitter,Movie එක pretty good actually,NORMAL
post_64,user_146,twitter,influencers ලා always complain කරනවා lol,HATE
post_65,user_159,facebook,influencers culture එක totally outdated,HATE
post_66,user_134,youtube,Meeting එක 5pm ට move කරමු,NORMAL
post_67,user_172,youtube,media people ලා හරිම smart නේද? 😏,HATE
post_68,user_34,youtube,economic reform behind government decision කියලා sources කියනවා,DISINFO
post_69,user_3,news_portal,influencers ලා always complain කරනවා lol,HATE
post_70,user_19,twitter,media people ලා always complain කරනවා lol,HATE
post_71,user_90,facebook,media people ලා හරිම smart නේද? 😏,HATE
post_72,user_41,news_portal,Experts කියනවා economic reform causes long-term damage allegedly,DISINFO
post_73,user_168,facebook,Traffic එක අද ටිකක් heavy,NORMAL
post_74,user_170,facebook,Breaking news: economic reform secretly controlled by foreign powers,DISINFO
post_75,user_28,twitter,මට හිතෙන්නේ media people ගැන rethink කරන්න ඕන,HATE
post_76,user_54,youtube,මට coffee එකක් බොන්න හිතෙනවා,NORMAL
post_77,user_163,youtube,Traffic එක අද ටිකක් heavy,NORMAL
post_78,user_65,facebook,මෙම vaccine එකෙන් 90% people sick වෙනවා කියලා කියනවා 🤔,DISINFO
post_79,user_12,facebook,Research කියනවා new vaccine harmful කියලා but media hide කරනවා,DISINFO
post_80,user_68,twitter,Movie එක pretty good actually,NORMAL
post_81,user_181,news_portal,Traffic එක අද ටිකක් heavy,NORMAL
post_82,user_29,facebook,influencers ලා හරිම smart නේද? 😏,HATE
post_83,user_95,twitter,students culture එක totally outdated,HATE
post_84,user_79,youtube,ඔයා media people වගේ behave කරනවා 😂,HATE
post_85,user_175,twitter,ඔයා media people වගේ behave කරනවා 😂,HATE
post_86,user_105,twitter,මට coffee එකක් බොන්න හිතෙනවා,NORMAL
post_87,user_46,news_portal,ඔයා students වගේ behave කරනවා 😂,HATE
post_88,user_86,news_portal,මට coffee එකක් බොන්න හිතෙනවා,NORMAL
post_89,user_41,facebook,5G towers behind government decision කියලා sources කියනවා,DISINFO
post_90,user_57,twitter,economic reform behind government decision කියලා sources කියනවා,DISINFO
post_91,user_59,twitter,මෙම vaccine එකෙන් 90% people sick වෙනවා කියලා කියනවා 🤔,DISINFO
post_92,user_85,youtube,මෙම vaccine එකෙන් 90% people sick වෙනවා කියලා කියනවා 🤔,DISINFO
post_93,user_165,news_portal,Experts කියනවා economic reform causes long-term damage allegedly,DISINFO
post_94,user_30,youtube,influencers ලා හරිම smart නේද? 😏,HATE
post_95,user_10,facebook,Experts කියනවා education policy causes long-term damage allegedly,DISINFO
post_96,user_187,youtube,fuel prices behind government decision කියලා sources කියනවා,DISINFO
post_97,user_30,news_portal,Traffic එක අද ටිකක් heavy,NORMAL
post_98,user_66,facebook,politicians culture එක totally outdated,HATE
post_99,user_138,twitter,Meeting එක 5pm ට move කරමු,NORMAL
post_100,user_18,youtube,Experts කියනවා economic reform causes long-term damage allegedly,DISINFO
post_101,user_32,youtube,Traffic එක අද ටිකක් heavy,NORMAL
post_102,user_171,news_portal,Research කියනවා education policy harmful කියලා but media hide කරනවා,DISINFO
post_103,user_76,twitter,මට coffee එකක් බොන්න හිතෙනවා,NORMAL
post_104,user_171,news_portal,Breaking news: fuel prices secretly controlled by foreign powers,DISINFO
post_105,user_78,news_portal,Traffic එක අද ටිකක් heavy,NORMAL
post_106,user_78,youtube,officials ලා හරිම smart නේද? 😏,HATE
post_107,user_156,youtube,Movie එක pretty good actually,NORMAL
post_108,user_114,twitter,Experts කියනවා education policy causes long-term damage allegedly,DISINFO
post_109,user_44,facebook,Meeting එක 5pm ට move කරමු,NORMAL
post_110,user_170,youtube,අද weather එක nice වගේ 😊,NORMAL
post_111,user_173,youtube,students ලා හරිම smart නේද? 😏,HATE
post_112,user_7,facebook,officials ලා හරිම smart නේද? 😏,HATE
post_113,user_197,facebook,Movie එක pretty good actually,NORMAL
post_114,user_162,twitter,education policy behind government decision කියලා sources කියනවා,DISINFO
post_115,user_63,twitter,මෙම vaccine එකෙන් 90% people sick වෙනවා කියලා කියනවා 🤔,DISINFO
post_116,user_57,twitter,Experts කියනවා education policy causes long-term damage allegedly,DISINFO
post_117,user_143,twitter,ඔයා officials වගේ behave කරනවා 😂,HATE
post_118,user_119,youtube,influencers culture එක totally outdated,HATE
post_119,user_130,news_portal,Traffic එක අද ටිකක් heavy,NORMAL
post_120,user_41,news_portal,economic reform behind government decision කියලා sources කියනවා,DISINFO
post_121,user_164,youtube,officials ලා always complain කරනවා lol,HATE
post_122,user_62,youtube,Movie එක pretty good actually,NORMAL
post_123,user_183,youtube,media people ලා හරිම smart නේද? 😏,HATE
post_124,user_82,facebook,Breaking news: new vaccine secretly controlled by foreign powers,DISINFO
post_125,user_99,twitter,politicians ලා හරිම smart නේද? 😏,HATE
post_126,user_105,youtube,Experts කියනවා education policy causes long-term damage allegedly,DISINFO
post_127,user_16,twitter,education policy behind government decision කියලා sources කියනවා,DISINFO
post_128,user_179,facebook,Traffic එක අද ටිකක් heavy,NORMAL
post_129,user_123,facebook,Research කියනවා economic reform harmful කියලා but media hide කරනවා,DISINFO
post_130,user_108,twitter,new vaccine behind government decision කියලා sources කියනවා,DISINFO
post_131,user_112,news_portal,මෙම vaccine එකෙන් 90% people sick වෙනවා කියලා කියනවා 🤔,DISINFO
post_132,user_172,news_portal,Breaking news: education policy secretly controlled by foreign powers,DISINFO
post_133,user_160,facebook,influencers culture එක totally outdated,HATE
post_134,user_170,facebook,අද weather එක nice වගේ 😊,NORMAL
post_135,user_110,twitter,Movie එක pretty good actually,NORMAL
post_136,user_13,youtube,media people culture එක totally outdated,HATE
post_137,user_117,youtube,මට හිතෙන්නේ officials ගැන rethink කරන්න ඕන,HATE
post_138,user_193,news_portal,Research කියනවා 5G towers harmful කියලා but media hide කරනවා,DISINFO
post_139,user_5,facebook,Research කියනවා new vaccine harmful කියලා but media hide කරනවා,DISINFO
post_140,user_18,facebook,අද weather එක nice වගේ 😊,NORMAL
post_141,user_52,facebook,students ලා always complain කරනවා lol,HATE
post_142,user_33,news_portal,ඔයා influencers වගේ behave කරනවා 😂,HATE
post_143,user_120,youtube,මට හිතෙන්නේ students ගැන rethink කරන්න ඕන,HATE
post_144,user_156,facebook,මට coffee එකක් බොන්න හිතෙනවා,NORMAL
post_145,user_28,facebook,Research කියනවා fuel prices harmful කියලා but media hide කරනවා,DISINFO
post_146,user_97,news_portal,මට coffee එකක් බොන්න හිතෙනවා,NORMAL
post_147,user_152,twitter,ඔයා media people වගේ behave කරනවා 😂,HATE
post_148,user_154,facebook,Traffic එක අද ටිකක් heavy,NORMAL
post_149,user_89,news_portal,මට හිතෙන්නේ politicians ගැන rethink කරන්න ඕන,HATE
post_150,user_166,youtube,අද weather එක nice වගේ 😊,NORMAL
post_151,user_126,facebook,economic reform behind government decision කියලා sources කියනවා,DISINFO
post_152,user_118,twitter,Movie එක pretty good actually,NORMAL
post_153,user_188,youtube,influencers ලා always complain කරනවා lol,HATE
post_154,user_120,news_portal,Experts කියනවා economic reform causes long-term damage allegedly,DISINFO
post_155,user_63,facebook,Research කියනවා education policy harmful කියලා but media hide කරනවා,DISINFO
post_156,user_193,news_portal,influencers ලා always complain කරනවා lol,HATE
post_157,user_98,youtube,අද weather එක nice වගේ 😊,NORMAL
post_158,user_84,twitter,new vaccine behind government decision කියලා sources කියනවා,DISINFO
post_159,user_67,youtube,Research කියනවා fuel prices harmful කියලා but media hide කරනවා,DISINFO
post_160,user_71,facebook,Traffic එක අද ටිකක් heavy,NORMAL
post_161,user_22,twitter,officials culture එක totally outdated,HATE
post_162,user_195,twitter,Movie එක pretty good actually,NORMAL
post_163,user_183,news_portal,Movie එක pretty good actually,NORMAL
post_164,user_24,youtube,officials ලා හරිම smart නේද? 😏,HATE
post_165,user_63,youtube,Traffic එක අද ටිකක් heavy,NORMAL
post_166,user_122,youtube,fuel prices behind government decision කියලා sources කියනවා,DISINFO
post_167,user_91,news_portal,Research කියනවා economic reform harmful කියලා but media hide කරනවා,DISINFO
post_168,user_60,facebook,Breaking news: economic reform secretly controlled by foreign powers,DISINFO
post_169,user_191,twitter,students ලා හරිම smart නේද? 😏,HATE
post_170,user_124,youtube,Traffic එක අද ටිකක් heavy,NORMAL
post_171,user_153,youtube,අද weather එක nice වගේ 😊,NORMAL
post_172,user_76,twitter,මට හිතෙන්නේ students ගැන rethink කරන්න ඕන,HATE
post_173,user_4,twitter,Research කියනවා 5G towers harmful කියලා but media hide කරනවා,DISINFO
post_174,user_142,youtube,officials ලා හරිම smart නේද? 😏,HATE
post_175,user_4,youtube,officials culture එක totally outdated,HATE
post_176,user_88,twitter,මෙම vaccine එකෙන් 90% people sick වෙනවා කියලා කියනවා 🤔,DISINFO
post_177,user_30,facebook,education policy behind government decision කියලා sources කියනවා,DISINFO
post_178,user_148,facebook,students ලා හරිම smart නේද? 😏,HATE
post_179,user_78,facebook,මට coffee එකක් බොන්න හිතෙනවා,NORMAL
post_180,user_143,news_portal,influencers ලා always complain කරනවා lol,HATE
post_181,user_58,news_portal,Movie එක pretty good actually,NORMAL
post_182,user_77,news_portal,Research කියනවා fuel prices harmful කියලා but media hide කරනවා,DISINFO
post_183,user_16,facebook,මට coffee එකක් බොන්න හිතෙනවා,NORMAL
post_184,user_55,youtube,අද weather එක nice වගේ 😊,NORMAL
post_185,user_62,twitter,politicians ලා always complain කරනවා lol,HATE
post_186,user_1,news_portal,influencers culture එක totally outdated,HATE
post_187,user_75,facebook,Breaking news: economic reform secretly controlled by foreign powers,DISINFO
post_188,user_73,news_portal,අද weather එක nice වගේ 😊,NORMAL
post_189,user_60,youtube,Traffic එක අද ටිකක් heavy,NORMAL
post_190,user_51,news_portal,අද weather එක nice වගේ 😊,NORMAL
post_191,user_58,twitter,Meeting එක 5pm ට move කරමු,NORMAL
post_192,user_19,facebook,media people ලා හරිම smart නේද? 😏,HATE
post_193,user_192,youtube,Movie එක pretty good actually,NORMAL
post_194,user_120,youtube,media people culture එක totally outdated,HATE
post_195,user_139,news_portal,Movie එක pretty good actually,NORMAL
post_196,user_154,facebook,media people culture එක totally outdated,HATE
post_197,user_65,facebook,අද weather එක nice වගේ 😊,NORMAL
post_198,user_173,facebook,මට හිතෙන්නේ influencers ගැන rethink කරන්න ඕන,HATE
post_199,user_196,twitter,influencers culture එක totally outdated,HATE
post_200,user_114,youtube,මට coffee එකක් බොන්න හිතෙනවා,NORMAL
post_201,user_112,news_portal,අද weather එක nice වගේ 😊,NORMAL
post_202,user_90,news_portal,Research කියනවා economic reform harmful කියලා but media hide කරනවා,DISINFO
post_203,user_27,twitter,Meeting එක 5pm ට move කරමු,NORMAL
post_204,user_178,news_portal,Research කියනවා education policy harmful කියලා but media hide කරනවා,DISINFO
post_205,user_10,news_portal,අද weather එක nice වගේ 😊,NORMAL
post_206,user_65,youtube,මෙම vaccine එකෙන් 90% people sick වෙනවා කියලා කියනවා 🤔,DISINFO
post_207,user_1,news_portal,Movie එක pretty good actually,NORMAL
post_208,user_49,youtube,officials ලා always complain කරනවා lol,HATE
post_209,user_114,facebook,මට coffee එකක් බොන්න හිතෙනවා,NORMAL
post_210,user_141,twitter,Research කියනවා education policy harmful කියලා but media hide කරනවා,DISINFO
post_211,user_125,facebook,අද weather එක nice වගේ 😊,NORMAL
post_212,user_156,twitter,මට coffee එකක් බොන්න හිතෙනවා,NORMAL
post_213,user_142,facebook,Experts කියනවා education policy causes long-term damage allegedly,DISINFO
post_214,user_58,facebook,politicians culture එක totally outdated,HATE
post_215,user_40,news_portal,Meeting එක 5pm ට move කරමු,NORMAL
post_216,user_181,youtube,Movie එක pretty good actually,NORMAL
post_217,user_121,twitter,fuel prices behind government decision කියලා sources කියනවා,DISINFO
post_218,user_99,twitter,influencers ලා always complain කරනවා lol,HATE
post_219,user_35,facebook,Meeting එක 5pm ට move කරමු,NORMAL
post_220,user_88,youtube,මෙම vaccine එකෙන් 90% people sick වෙනවා කියලා කියනවා 🤔,DISINFO
post_221,user_77,news_portal,මට coffee එකක් බොන්න හිතෙනවා,NORMAL
post_222,user_138,news_portal,Research කියනවා economic reform harmful කියලා but media hide කරනවා,DISINFO
post_223,user_196,news_portal,Movie එක pretty good actually,NORMAL
post_224,user_49,twitter,Experts කියනවා education policy causes long-term damage allegedly,DISINFO
post_225,user_199,news_portal,ඔයා media people වගේ behave කරනවා 😂,HATE
post_226,user_122,news_portal,Movie එක pretty good actually,NORMAL
post_227,user_167,twitter,Movie එක pretty good actually,NORMAL
post_228,user_33,youtube,ඔයා officials වගේ behave කරනවා 😂,HATE
post_229,user_135,news_portal,ඔයා students වගේ behave කරනවා 😂,HATE
post_230,user_168,twitter,මෙම vaccine එකෙන් 90% people sick වෙනවා කියලා කියනවා 🤔,DISINFO
post_231,user_87,news_portal,මෙම vaccine එකෙන් 90% people sick වෙනවා කියලා කියනවා 🤔,DISINFO
post_232,user_137,news_portal,Meeting එක 5pm ට move කරමු,NORMAL
post_233,user_184,news_portal,Traffic එක අද ටිකක් heavy,NORMAL
post_234,user_159,facebook,media people ලා හරිම smart නේද? 😏,HATE
post_235,user_192,facebook,politicians culture එක totally outdated,HATE
post_236,user_181,facebook,Movie එක pretty good actually,NORMAL
post_237,user_178,youtube,ඔයා politicians වගේ behave කරනවා 😂,HATE
post_238,user_15,youtube,Research කියනවා economic reform harmful කියලා but media hide කරනවා,DISINFO
post_239,user_38,twitter,Experts කියනවා education policy causes long-term damage allegedly,DISINFO
post_240,user_175,twitter,මට coffee එකක් බොන්න හිතෙනවා,NORMAL
post_241,user_21,news_portal,students ලා always complain කරනවා lol,HATE
post_242,user_150,twitter,Breaking news: education policy secretly controlled by foreign powers,DISINFO
post_243,user_66,news_portal,Meeting එක 5pm ට move කරමු,NORMAL
post_244,user_3,news_portal,Meeting එක 5pm ට move කරමු,NORMAL
post_245,user_140,twitter,අද weather එක nice වගේ 😊,NORMAL
post_246,user_89,youtube,economic reform behind government decision කියලා sources කියනවා,DISINFO
post_247,user_78,twitter,education policy behind government decision කියලා sources කියනවා,DISINFO
post_248,user_61,news_portal,media people ලා always complain කරනවා lol,HATE
post_249,user_76,youtube,අද weather එක nice වගේ 😊,NORMAL
post_250,user_102,youtube,අද weather එක nice වගේ 😊,NORMAL
post_251,user_176,facebook,Traffic එක අද ටිකක් heavy,NORMAL
post_252,user_128,youtube,මට coffee එකක් බොන්න හිතෙනවා,NORMAL
post_253,user_91,twitter,මට coffee එකක් බොන්න හිතෙනවා,NORMAL
post_254,user_65,twitter,අද weather එක nice වගේ 😊,NORMAL
post_255,user_166,facebook,Meeting එක 5pm ට move කරමු,NORMAL
post_256,user_9,youtube,Breaking news: 5G towers secretly controlled by foreign powers,DISINFO
post_257,user_84,news_portal,Breaking news: new vaccine secretly controlled by foreign powers,DISINFO
post_258,user_139,youtube,influencers ලා always complain කරනවා lol,HATE
post_259,user_43,youtube,economic reform behind government decision කියලා sources කියනවා,DISINFO
post_260,user_87,facebook,Movie එක pretty good actually,NORMAL
post_261,user_37,twitter,influencers culture එක totally outdated,HATE
post_262,user_24,news_portal,මෙම vaccine එකෙන් 90% people sick වෙනවා කියලා කියනවා 🤔,DISINFO
post_263,user_32,news_portal,Meeting එක 5pm ට move කරමු,NORMAL
post_264,user_192,youtube,Traffic එක අද ටිකක් heavy,NORMAL
post_265,user_164,youtube,මෙම vaccine එකෙන් 90% people sick වෙනවා කියලා කියනවා 🤔,DISINFO
post_266,user_7,youtube,Experts කියනවා new vaccine causes long-term damage allegedly,DISINFO
post_267,user_17,news_portal,Meeting එක 5pm ට move කරමු,NORMAL
post_268,user_105,facebook,මට coffee එකක් බොන්න හිතෙනවා,NORMAL
post_269,user_10,youtube,politicians culture එක totally outdated,HATE
post_270,user_61,twitter,officials culture එක totally outdated,HATE
post_271,user_172,news_portal,Experts කියනවා new vaccine causes long-term damage allegedly,DISINFO
post_272,user_168,facebook,fuel prices behind government decision කියලා sources කියනවා,DISINFO
post_273,user_72,facebook,Research කියනවා new vaccine harmful කියලා but media hide කරනවා,DISINFO
post_274,user_114,twitter,Research කියනවා 5G towers harmful කියලා but media hide කරනවා,DISINFO
post_275,user_95,youtube,අද weather එක nice වගේ 😊,NORMAL
post_276,user_71,twitter,මෙම vaccine එකෙන් 90% people sick වෙනවා කියලා කියනවා 🤔,DISINFO
post_277,user_170,twitter,politicians ලා always complain කරනවා lol,HATE
post_278,user_86,twitter,influencers ලා හරිම smart නේද? 😏,HATE
post_279,user_18,twitter,students ලා always complain කරනවා lol,HATE
post_280,user_85,twitter,politicians ලා always complain කරනවා lol,HATE
post_281,user_38,twitter,Experts කියනවා economic reform causes long-term damage allegedly,DISINFO
post_282,user_29,facebook,politicians ලා හරිම smart නේද? 😏,HATE
post_283,user_61,youtube,මෙම vaccine එකෙන් 90% people sick වෙනවා කියලා කියනවා 🤔,DISINFO
post_284,user_14,twitter,fuel prices behind government decision කියලා sources කියනවා,DISINFO
post_285,user_191,facebook,officials culture එක totally outdated,HATE
post_286,user_132,facebook,fuel prices behind government decision කියලා sources කියනවා,DISINFO
post_287,user_158,facebook,media people ලා always complain කරනවා lol,HATE
post_288,user_165,facebook,මෙම vaccine එකෙන් 90% people sick වෙනවා කියලා කියනවා 🤔,DISINFO
post_289,user_110,facebook,education policy behind government decision කියලා sources කියනවා,DISINFO
post_290,user_21,youtube,students ලා always complain කරනවා lol,HATE
post_291,user_33,youtube,influencers ලා always complain කරනවා lol,HATE
post_292,user_183,youtube,Movie එක pretty good actually,NORMAL
post_293,user_136,youtube,Movie එක pretty good actually,NORMAL
post_294,user_155,news_portal,අද weather එක nice වගේ 😊,NORMAL
post_295,user_30,twitter,Movie එක pretty good actually,NORMAL
post_296,user_59,news_portal,Research කියනවා education policy harmful කියලා but media hide කරනවා,DISINFO
post_297,user_107,facebook,Research කියනවා education policy harmful කියලා but media hide කරනවා,DISINFO
post_298,user_171,youtube,Research කියනවා new vaccine harmful කියලා but media hide කරනවා,DISINFO
post_299,user_122,facebook,අද weather එක nice වගේ 😊,NORMAL
post_300,user_24,news_portal,ඔයා media people වගේ behave කරනවා 😂,HATE
post_301,user_143,facebook,influencers ලා always complain කරනවා lol,HATE
post_302,user_85,facebook,Movie එක pretty good actually,NORMAL
post_303,user_171,news_portal,මෙම vaccine එකෙන් 90% people sick වෙනවා කියලා කියනවා 🤔,DISINFO
post_304,user_80,youtube,අද weather එක nice වගේ 😊,NORMAL
post_305,user_130,twitter,මට coffee එකක් බොන්න හිතෙනවා,NORMAL
post_306,user_124,twitter,අද weather එක nice වගේ 😊,NORMAL
post_307,user_143,youtube,මෙම vaccine එකෙන් 90% people sick වෙනවා කියලා කියනවා 🤔,DISINFO
post_308,user_58,news_portal,Traffic එක අද ටිකක් heavy,NORMAL
post_309,user_158,facebook,Traffic එක අද ටිකක් heavy,NORMAL
post_310,user_178,youtube,අද weather එක nice වගේ 😊,NORMAL
post_311,user_70,youtube,මට හිතෙන්නේ media people ගැන rethink කරන්න ඕන,HATE
post_312,user_47,twitter,officials ලා always complain කරනවා lol,HATE
post_313,user_37,facebook,ඔයා influencers වගේ behave කරනවා 😂,HATE
post_314,user_97,news_portal,media people culture එක totally outdated,HATE
post_315,user_95,youtube,මට හිතෙන්නේ influencers ගැන rethink කරන්න ඕන,HATE
post_316,user_22,facebook,මට coffee එකක් බොන්න හිතෙනවා,NORMAL
post_317,user_194,facebook,ඔයා media people වගේ behave කරනවා 😂,HATE
post_318,user_170,news_portal,fuel prices behind government decision කියලා sources කියනවා,DISINFO
post_319,user_107,youtube,Breaking news: fuel prices secretly controlled by foreign powers,DISINFO
post_320,user_89,news_portal,ඔයා media people වගේ behave කරනවා 😂,HATE
post_321,user_174,news_portal,Traffic එක අද ටිකක් heavy,NORMAL
post_322,user_79,facebook,මට coffee එකක් බොන්න හිතෙනවා,NORMAL
post_323,user_154,facebook,මෙම vaccine එකෙන් 90% people sick වෙනවා කියලා කියනවා 🤔,DISINFO
post_324,user_55,twitter,Research කියනවා economic reform harmful කියලා but media hide කරනවා,DISINFO
post_325,user_31,facebook,education policy behind government decision කියලා sources කියනවා,DISINFO
post_326,user_34,news_portal,students ලා always complain කරනවා lol,HATE
post_327,user_144,youtube,අද weather එක nice වගේ 😊,NORMAL
post_328,user_190,facebook,5G towers behind government decision කියලා sources කියනවා,DISINFO
post_329,user_20,youtube,Experts කියනවා education policy causes long-term damage allegedly,DISINFO
post_330,user_104,news_portal,Meeting එක 5pm ට move කරමු,NORMAL
post_331,user_104,facebook,මට හිතෙන්නේ students ගැන rethink කරන්න ඕන,HATE
post_332,user_118,youtube,අද weather එක nice වගේ 😊,NORMAL
post_333,user_28,twitter,fuel prices behind government decision කියලා sources කියනවා,DISINFO
post_334,user_135,facebook,economic reform behind government decision කියලා sources කියනවා,DISINFO
post_335,user_87,twitter,Meeting එක 5pm ට move කරමු,NORMAL
post_336,user_20,facebook,influencers ලා always complain කරනවා lol,HATE
post_337,user_199,youtube,මට හිතෙන්නේ students ගැන rethink කරන්න ඕන,HATE
post_338,user_27,twitter,මට හිතෙන්නේ students ගැන rethink කරන්න ඕන,HATE
post_339,user_155,twitter,ඔයා students වගේ behave කරනවා 😂,HATE
post_340,user_127,news_portal,Traffic එක අද ටිකක් heavy,NORMAL
post_341,user_115,youtube,Meeting එක 5pm ට move කරමු,NORMAL
post_342,user_113,facebook,officials culture එක totally outdated,HATE
post_343,user_78,youtube,Traffic එක අද ටිකක් heavy,NORMAL
post_344,user_91,facebook,මට හිතෙන්නේ officials ගැන rethink කරන්න ඕන,HATE
post_345,user_10,facebook,Research කියනවා economic reform harmful කියලා but media hide කරනවා,DISINFO
post_346,user_166,facebook,influencers ලා always complain කරනවා lol,HATE
post_347,user_99,news_portal,Traffic එක අද ටිකක් heavy,NORMAL
post_348,user_190,facebook,Movie එක pretty good actually,NORMAL
post_349,user_167,twitter,Meeting එක 5pm ට move කරමු,NORMAL
post_350,user_122,twitter,අද weather එක nice වගේ 😊,NORMAL
post_351,user_27,youtube,මෙම vaccine එකෙන් 90% people sick වෙනවා කියලා කියනවා 🤔,DISINFO
post_352,user_45,facebook,මට coffee එකක් බොන්න හිතෙනවා,NORMAL
post_353,user_113,news_portal,Traffic එක අද ටිකක් heavy,NORMAL
post_354,user_157,twitter,Meeting එක 5pm ට move කරමු,NORMAL
post_355,user_73,news_portal,economic reform behind government decision කියලා sources කියනවා,DISINFO
post_356,user_154,facebook,Meeting එක 5pm ට move කරමු,NORMAL
post_357,user_85,facebook,officials ලා always complain කරනවා lol,HATE
post_358,user_65,twitter,Research කියනවා 5G towers harmful කියලා but media hide කරනවා,DISINFO
post_359,user_170,twitter,Meeting එක 5pm ට move කරමු,NORMAL
post_360,user_168,news_portal,Breaking news: fuel prices secretly controlled by foreign powers,DISINFO
post_361,user_22,youtube,Traffic එක අද ටිකක් heavy,NORMAL
