Cleaned Text ,Label,Word Identified,Hate,Disinfo,Normal,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
බොරු කතා තාත්තා වඩා වේවි පුතා ආවාම,NORMAL,,0,0,1,,,,,
namal harima hondata paule paramparwema ugath kama hondata helidarau karanawa munge paulama pasalakata wahi welawakataeath giya nathi baw pennawa,NORMAL,,0,0,1,,,,,
අනේ චාමර බෝරු කියන්න එපා වසන්ත සමරසිංහ ඇමතියා අදින්න රෙදි කෑල්ලක් නැතුව අවේ හරියට කරේ නැ කියලා හරියට කරේ නැත්තම් කෝටි ක් තියෙයි ඇ,HATE,රෙදි කෑල්ලක් නැතුව,1,0,0,,,,,
ඒබ් රහම් ලින්කන් එව්වත ජෙරල් ෆෝඩ් එවුවත් නැව් දෙකටම ඉරානය කෙලියොත් ඉන් එහාට එක දවසක්වත් ට්රම්ප් එරට ජනාධිපති වරයා වී හමාරයි,NORMAL,,0,0,1,,,,,
like you i have great confidence that our homeland will see good times in the future under president anura i live in europe my country will be in a good place in a very short time,NORMAL,,0,0,1,,,,,
sangeeth ube hama anduwatama set wela ube wade karagannawa boru media campaign karala gallery eka chuun karanawa palayan bn yanna,NORMAL,,0,0,1,,,,,
adarei janapati tumani,NORMAL,,0,0,1,,,,,
chillestguyever you re only blaming the opposition but man open your eyes your party members are the ones shouting every single day like it s their hobby their behavior is worse than cows in the market and don t forget they re the ruling side they should be setting an example behaving more politely not like devils or cows if the government itself can t control its behavior then how can they expect any respectful debate from the opposition,NORMAL,,0,0,1,,,,,
කන්නන් කන්නන්ගරල වගේ බයියන්ට පේනවලු,NORMAL,,0,0,1,,,,,
මරික්කාර් තාමත් උත්සහ කරන්නේ මේ රටේ මිනුසුන් රවට්ටන්න කියන බොරු,NORMAL,,0,0,1,,,,,
niyamai චාමර bado කතා nam කතා කියන්නේ මේවාට ne good good,NORMAL,,0,0,1,,,,,
මුන්ට බැණල වැඩක් නෑ මේව තේරුම් නොගෙන මුන්ට හිරිකිතයක් නැතිව ඡන්දෙ දීල පස්සෙ වැටිල වැලලිල මුන්ව බලයට ගේන්න උඩපනින චන්ද දායකයො මෝඩයිනෙ හිතන්න මොලේනෑ බඩ ගින්නෙ හිටියත් උන් තමා ඕනෙ,NORMAL,,0,0,1,,,,,
චාමරයගෙ කයිය තිබිබට වැඩ කොහොමද දන්නැහොරා කන්නෙම නැති කෙනෙක්ද,NORMAL,,0,0,1,,,,,
ඔන්න ඕකයි ජෙප්පොන්ගෙ වාචික භාවිතය,NORMAL,,0,0,1,,,,,
it is a big question,NORMAL,,0,0,1,,,,,
boru ona na atha kathawa,NORMAL,,0,0,1,,,,,
වෙලාවක් තිබ්බොත් රට ගැනත් රටේ ආර්ථික සංවර්ධනය වෙනුවෙන් මොනවද ගන්න පුලුවන් තිරන ගැනත් කතා කරන්න හදිස්සි නැහැ ඔව ඉවරවෙලා,NORMAL,,0,0,1,,,,,
පෙර රජය තවත් වසර පහක් බලයේ සිටියා නම් ශ් රී ලංකාවේ තිරිඟු පිටිවලට වඩා කුඩු තිබෙන්නට ඉඩ තිබුණි,HATE,කුඩු,1,0,0,,,,,
katawanam sampurna atta katawa mahattayo eth sudu andina hamogema yata game tama kathwata respect ekenma eth oya anura sahodarayat haiya dunna dinanna ekata kruthaguna washayen apu gaman 10rs wadi karalath dunna rajaye haal moll arinne natteth hitawathkama nisa kiyala dannwa oya silwath katin kiyannako welawkata epa wenawa kiwa wage me rate ahinsaka janathawata haal kilowa 100rs denawa ada indala kiyala oyata dan hotel idam business tiyenwa diwya loke yanna pin kara ganna haal tikata ohoma karanna epa duppath ratak oluwta aran jewath wenna,DISINFO,,0,1,0,,,,,
අනිවාර්යයෙන් අපිත් ඡන්දය දුන්නනේ අනුරාධපුර හදන්න හැබැයි බැරි උනොත් රෙදි නැතුව තමයි යන්න වෙන්නේ වසන්තලට,HATE,රෙදි නැතිව,1,0,0,,,,,
ane mehema gon harakek,HATE,gon harakek,1,0,0,,,,,
sangeeth kiyana de karoth ellum gaha genna deyak na unma marenawa,NORMAL,,0,0,1,,,,,
meka big kuchcan ekak,NORMAL,,0,0,1,,,,,
ජනාධිපතිතුමනි නුගේගොඩ ආපු මිනිස්සු අයිස් ගහල හිටියද කියල බලන්න බුද්ධි වාර්තාවක් කැදවන්න,NORMAL,,0,0,1,,,,,
ambo ambo,NORMAL,,0,0,1,,,,,
මරික්කාර් දේශපාලනය ඉවරයි ඒකයි මේ බයිලා චෝදනාවක් කරනවානං ඒක ඔප්පු කරන්න වැරදි කාරයටම කියන්නේ සජිත්ගේ මොලෙන් හිතන උන් තමා,DISINFO,,0,1,0,,,,,
pala වසා badu කාරයා,HATE,badu kaaraya,1,0,0,,,,,
එදා ජෙප්පී පාර්ලිමේන්තු හොරු ගෙන කතා කරලා පැමිණිලි නොකලේ පස්සේ කුට්ටිය ගත්තා නිසා,NORMAL,,0,0,1,,,,,
ජය වේවා සංගිත් මාමේ,NORMAL,,0,0,1,,,,,
ඔයි ඔයි නලීන්,NORMAL,,0,0,1,,,,,
බංකොලොත් වෙනකල් හොරකම් කරලා මුගේ කටේ සද්දේ මිනිස්සු ලක්ෂ ගානාක් පාරට ඇවිත් පවුල් පිටින් එලෙව්වා තවම මුංගේ හොාරකමක් හොයා ගන්න බැයිද,DISINFO,,0,1,0,,,,,
vi pak se unta thiyana prshna,NORMAL,,0,0,1,,,,,
ඒ කියන්නෙ ජන්දෙන් ආවහම ලංකාවේ ඒ ඇමතිකමට කරන්න තියන ඒවා ඔක්කොම පැත්තකට දාලා තමන්ගෙ පැත්තෙ හදන්න ඕනෙ අවශ් යතාවය තියන තැනට නෙවේ තමන්ගෙ ගම පැත්තට සල්ලි පොම්ප කරන එක තමයි කරන්න ඕනි ගමේ පලාතෙ උන්ගෙන් තමන්ගෙ අමාත් යාංශෙම පුරවලා දාන්න ඕනි ජනාධිපතිකම හම්බ උනා නම් රට කෙසේ වෙතත් රටේම සල්ලි පුලුවන් තරම් තමන්ගෙ ගම ගෙවල් පැත්තට වියදම් කරන්න ඕනි රට මැද පුලුවන් නම් වරායක් හරි හදන්න ඕනෙ ඒකනෙ මේ නොකියා කියන්නෙ,NORMAL,,0,0,1,,,,,
niyamai bro,NORMAL,,0,0,1,,,,,
respect ekenma,NORMAL,,0,0,1,,,,,
winiwidabhawaya witharay oyaalata market karanna thiyenne physical,NORMAL,,0,0,1,,,,,
කවද දැකපු දෙවල්ද මේ අපි පිං කරා බන් මෙහෙම ජනාධිපති කෙනෙක් ලබන්න,NORMAL,,0,0,1,,,,,
tope paramparawama rata kala tope naya epita una pol buruwa gon namal,HATE,"pol buruwa, gon",1,0,0,,,,,
සංගීත් පූළුවනම් ජනවාරි එලියට ආපු container අයිති කාරය ගැනත් ජනාධිපති තුමා ගෙන් අහන්නකො පුලුවනම් ඒවත් වටිනවා දැනගන්න තාම ඒක ගැන කවුර්ත් සද්දයක් නෑ ඒකයි,NORMAL,,0,0,1,,,,,
අනුර එල්ලුම් ගහ ගෙනෝම් පකෝ,HATE,"එල්ලුම් ගහ, pako",1,0,0,,,,,
pissa,HATE,pissa,1,0,0,,,,,
ඔය කයිවාරු ගහලා තමා තොපි විනාශ කරලා දාලා මුන් ඉන්නකම් හදන්න බැහැ,NORMAL,,0,0,1,,,,,
සන්ගිත් අයියා කියන්නනෙ සුපිරිම චරිතයක්,NORMAL,,0,0,1,,,,,
ජය වේවා ජනාධිපතිතුමනි,NORMAL,,0,0,1,,,,,
cri byyo tika foam wela bn pw htto byyo tika,HATE,htto,1,0,0,,,,,
big kukchan haduna,NORMAL,,0,0,1,,,,,
ව් යවස්ථාවේ එහෙම එකක් නෑ ඩෝබියො,NORMAL,,0,0,1,,,,,
සංගීත් කියන්නෙ අනුරලා කාලෙ ඉඳලම හිටපු කෙනෙක්,NORMAL,,0,0,1,,,,,
හ්ම්ම්ම්ම්ම් ඉරකි තිතකි,NORMAL,,0,0,1,,,,,
උට රනිල්ගේ කාර් නැතුව,NORMAL,,0,0,1,,,,,
supar,NORMAL,,0,0,1,,,,,
ජ්නඩ්පප් ට් ට්,NORMAL,,0,0,1,,,,,
niyamay supirie janadipati tu ani,NORMAL,,0,0,1,,,,,
ඉස්සර පාර්ලිමෙන්තුවෙ ගින් කතා වෙනුවට මෙන්න කතා,NORMAL,,0,0,1,,,,,
චමින්ද මන්ත් රී කම විකුණලා කාපු මිනිහෙක්නේ,DISINFO,,0,1,0,,,,,
එක කතාවකට ගරුකරනව තාම අනුරාධපුරට දැනෙන වැඩක් කරල නැ අපි ජනතාව විදිහට ලොකු බලාපොරොතතු තියාගෙන බලාගෙන ඉන්නව කාලය වේගයෙන් ගෙවිල යනව චාමර කියපුදේ හරි වැඩිහරියක් මැතිඇමති වරුන්ගේ බලප් රදේසය අපිත් ඉල්ලන්නේඉක්මනින් වැඩ පටන්ගන්න කල්මර මර ඉන්න එපා,NORMAL,,0,0,1,,,,,
janathawage sakayak naha janathawa dannawa mokada wenne kiyala,NORMAL,,0,0,1,,,,,
පාර්ලිමේන්තු වරප් රසාද අයින් කරපල්ලා,NORMAL,,0,0,1,,,,,
kuda ban arthika gathakaya une usaviyedi,DISINFO,,0,1,0,,,,,
චාමර උඹ මේ රටට වාසනාවක් හැබැයි ජෙප්පන්ට කරුමයක්,HATE,කරුමයක්,1,0,0,,,,,
owa kiwata oka dannath na kiwata tharannath na,NORMAL,,0,0,1,,,,,
what said is true but keeri sumba not selling for it marked price in shops 5kg bag 1800,DISINFO,,0,1,0,,,,,
කුඩු නැතිකරන්න ඕනෙමයි,NORMAL,,0,0,1,,,,,
මූ කියන ඒවා ඔක්කොම ඇත්ත මේවා අහගෙන ඉන්න උන්ගේ රෙද්දෙ ගූ ගිහිල්ලා,HATE,රෙද්දෙ ගූ ගිහිල්ලා,1,0,0,,,,,
සූස්තියක් ගහන ගමන් මෙක බලන මං,NORMAL,,0,0,1,,,,,
bmantri caminda mantr kama vikunu aka,NORMAL,,0,0,1,,,,,
උබලා තමයි රටට ඩොලර් එවන්න ඇපා කව්වේ 22අන්ඩුවේ කාලයේ උබලා තමයි අර්ථිකය බිංදුවට වට්ටන්න වැඩ වර්ජනය කරන්න රටේ විනාසකරපු කාලකන්නි වාහාල්ලු ජෙප්පපෝ,DISINFO,,0,1,0,,,,,
lajae,NORMAL,,0,0,1,,,,,
