Original Comment,Cleaned Comment,Label,Hate,Disinfo,Normal,Hate Words
මෙ සිවුරැ  රදවනයෙ සියලුදෙ ආනාවරනය කරන්නෙ කවදද.,මෙ සිවුරැ රදවනයෙ සියලුදෙ ආනාවරනය කරන්නෙ කවදද,NORMAL,0,0,1,
Apehamuduruwane siwubuduwarunage sarana pihita sahasiyalu arakshawa obawahanseata noaduwa labeawa,Apehamuduruwane siwubuduwarunage sarana pihita sahasiyalu arakshawa obawahanseata noaduwa labeawa,HATE,1,0,0,
"ඉතිං අපේ හාමුදුරුවනේ පාස්කු ප්‍රහාරයේ ඉඳලා මේ ආණ්ඩුව පත් වෙනකම් ඔබවහන්සේගේ මහා වීරවරුනේ රට පාලනය කළේ.
මිනිස්සුන්ට ම එපා වෙලා අලුත් ආණ්ඩුවක් පත් කලාට පස්සේ දැන් මොනවද මේ සිවුරු උස්සගෙන කෑගහන්නේ",ඉතිං අපේ හාමුදුරුවනේ පාස්කු ප්රහාරයේ ඉඳලා මේ ආණ්ඩුව පත් වෙනකම් ඔබවහන්සේගේ මහා වීරවරුනේ රට පාලනය කළේ මිනිස්සුන්ට ම එපා වෙලා අලුත් ආණ්ඩුවක් පත් කලාට පස්සේ දැන් මොනවද මේ සිවුරු උස්සගෙන කෑගහන්නේ,NORMAL,0,0,1,
Pala boru kiyannathuwa,Pala boru kiyannathuwa,NORMAL,0,0,1,
Dannako nadu,Dannako nadu,NORMAL,0,0,1,
Mun siuru dagana jatiwatayamai kala,Mun siuru dagana jatiwatayamai kala,NORMAL,0,0,1,
අනේ අනිචිචං,අනේ අනිචිචං,NORMAL,0,0,1,
ඉතා කඩිනමින් මේ කහකඩ පාතාලය මුලිනුපුටා දමමු,ඉතා කඩිනමින් මේ කහකඩ පාතාලය මුලිනුපුටා දමමු,HATE,1,0,0,
"අයි  මුසලයො ඩනට අඋරුඩු 4ක් නෙ සහරාන් ගහලා ,තො ඔච්චර  ඩෙවල් ඩන්නවනම්  අයි එ කලෙදී  අතඩන්ගුවට නොගත්තෙ. තොපි ගනගෙඩි බල්ලො  ටිකක්  ඉනනවනෙ රාජ පක්ෂ ලාට  ආවතෙව කරන, උන්ට ඔනිබඩුකරයො ටික ගෙන්න,
හරියට  රටට  අඩරෙ ගනගෙඩියා.",අයි මුසලයො ඩනට අඋරුඩු 4ක් නෙ සහරාන් ගහලා තො ඔච්චර ඩෙවල් ඩන්නවනම් අයි එ කලෙදී අතඩන්ගුවට නොගත්තෙ තොපි ගනගෙඩි බල්ලො ටිකක් ඉනනවනෙ රාජ පක්ෂ ලාට ආවතෙව කරන උන්ට ඔනිබඩුකරයො ටික ගෙන්න හරියට රටට අඩරෙ ගනගෙඩියා,DISINFO,0,1,0,
"ඔය පින්තූර ඔක්කොම හම්බවෙන්නේ දැන්ද
ඕවා නියම වෙලාවට කිව්වනම් පිළිගන්න තිබුණා දැන් නම් කියනකොට පිළිගන්න අමාරුයි අපේ හාමුදුරුවනේ",ඔය පින්තූර ඔක්කොම හම්බවෙන්නේ දැන්ද ඕවා නියම වෙලාවට කිව්වනම් පිළිගන්න තිබුණා දැන් නම් කියනකොට පිළිගන්න අමාරුයි අපේ හාමුදුරුවනේ,NORMAL,0,0,1,
මෙ හාමුදුරුවෝ ගෝටා ගේන්න ගමක් ගමක් ගානේ මුස්ලිමි විරුද්ධයක් කිවුවා පසුව රටෙ ඉහළ තැනකට ගියා දැන් ඒවානැතුව නැවත පටන් ගත්තා මෙයානමි පණපිටින් අපායට යන්නෙ,මෙ හාමුදුරුවෝ ගෝටා ගේන්න ගමක් ගමක් ගානේ මුස්ලිමි විරුද්ධයක් කිවුවා පසුව රටෙ ඉහළ තැනකට ගියා දැන් ඒවානැතුව නැවත පටන් ගත්තා මෙයානමි පණපිටින් අපායට යන්නෙ,HATE,1,0,0,
පස්කු  ගහනකොට  ලෙකමිි  N pp එකෙ...,පස්කු ගහනකොට ලෙකමිි N pp එකෙ,HATE,1,0,0,
මෙ  රටෙි  උන්ට  බොරැව  ඇගට  පොවලා   එකයි  ඇතටම  මෙ  රට    කවදවත්  දිවුනුවක්  නැ...මෙ  j vp නඩය  නිදා,මෙ රටෙි උන්ට බොරැව ඇගට පොවලා එකයි ඇතටම මෙ රට කවදවත් දිවුනුවක් නැමෙ j vp නඩය නිදා,HATE,1,0,0,
අනේ ආයි ඡාතිවාදය අවුස්සන කාලකනින්,අනේ ආයි ඡාතිවාදය අවුස්සන කාලකනින්,NORMAL,0,0,1,
පිස්සුද හැටිද,පිස්සුද හැටිද,NORMAL,0,0,1,
නාන සාර උබලා රට ගෙනගිය අන්තය අපි දැක්ක අතවින්ද උබ මුස්ලිම් එකට ගහනවා... අනික කැස්සපකය ඌ දෙමළ අල්ලාගෙන ගහනවා උගේ නායකයා නාමල් ඩයස් පොරාවේ අර්ජුනා පොම්කරනවා මුන් සේරෝම එකම ජාලයක් ආණ්ඩුවේ හොදවැඩ යටපත් කර මිනිසුන්ගේ ඔලු නරක් කරන්න ගහනගේම් ඒ ත් මිනිස්සු තොපි හැරෙනකොට දන්නවා..,නාන සාර උබලා රට ගෙනගිය අන්තය අපි දැක්ක අතවින්ද උබ මුස්ලිම් එකට ගහනවා අනික කැස්සපකය ඌ දෙමළ අල්ලාගෙන ගහනවා උගේ නායකයා නාමල් ඩයස් පොරාවේ අර්ජුනා පොම්කරනවා මුන් සේරෝම එකම ජාලයක් ආණ්ඩුවේ හොදවැඩ යටපත් කර මිනිසුන්ගේ ඔලු නරක් කරන්න ගහනගේම් ඒ ත් මිනිස්සු තොපි හැරෙනකොට දන්නවා,NORMAL,0,0,1,
මේ සාදු බයිලා ඕනේ නෑ පාස්කු ප්‍රහාරය ගැන තොරතුරු තියනවනම් ළඟම තියෙන පොලිසියට ගිහිල්ලා එන්ට්‍රියක් දාන්න😎නැත්තං තොරතුරු වසන් කරයි කියලා උස්සගෙන යයි සාධුව❗️,මේ සාදු බයිලා ඕනේ නෑ පාස්කු ප්රහාරය ගැන තොරතුරු තියනවනම් ළඟම තියෙන පොලිසියට ගිහිල්ලා එන්ට්රියක් දාන්නනැත්තං තොරතුරු වසන් කරයි කියලා උස්සගෙන යයි සාධුව,NORMAL,0,0,1,
මුට අනේ ගහපිය නැත්නම් අපිට දිපිය පව් නැ,මුට අනේ ගහපිය නැත්නම් අපිට දිපිය පව් නැ,HATE,1,0,0,
Mahinda nikaye evun elawanna,Mahinda nikaye evun elawanna,NORMAL,0,0,1,
"අපේ ඥානසාර හාමුදුරුවන් වහන්සේ,  වරින් වර මාධ්‍යය  සාකච්ඡා  පවත්වමින් පාස්කු ප්‍රහාරය ගැන සත්‍යය හෙළි කළා, නමුත් වත්මන් ආණ්ඩුවේ බලධාරීන් උන්වහන්සේගේ  බසට සවන් දුන්නේ නෑ , මොකද  පාස්කු ප්‍රහාරයකයත් රාජ පක්ෂලාගේ වැඩක් කියලා අත පිහ දාගන්න තමයි ආණ්ඩුව උත්සාහ කළේ.",අපේ ඥානසාර හාමුදුරුවන් වහන්සේ වරින් වර මාධ්යය සාකච්ඡා පවත්වමින් පාස්කු ප්රහාරය ගැන සත්යය හෙළි කළා නමුත් වත්මන් ආණ්ඩුවේ බලධාරීන් උන්වහන්සේගේ බසට සවන් දුන්නේ නෑ මොකද පාස්කු ප්රහාරයකයත් රාජ පක්ෂලාගේ වැඩක් කියලා අත පිහ දාගන්න තමයි ආණ්ඩුව උත්සාහ කළේ,NORMAL,0,0,1,
ඔයාගේ ආන්ඬුව කාලේ ඇල්ලූවේ නැහැනේ 😅😅😅,ඔයාගේ ආන්ඬුව කාලේ ඇල්ලූවේ නැහැනේ,NORMAL,0,0,1,
පරන බයිලා ආපහු ගයති 😅රැවටෙන්නේ නැහෑ,පරන බයිලා ආපහු ගයති රැවටෙන්නේ නැහෑ,HATE,1,0,0,
Budu bana arenna hamadema dannawa meya.😅.,Budu bana arenna hamadema dannawa meya,NORMAL,0,0,1,
සිංහල බෞද්ධ රජෙක් අපිට නැති හැටියක්....,සිංහල බෞද්ධ රජෙක් අපිට නැති හැටියක්,NORMAL,0,0,1,
මේ හාමුදුරුවන්  රටේ සත්‍ය  ඉදිරිපත්  කලත් කුහකත්වය පිරි අශීලාචාර ත්‍රස්තවාදී  ඒවා වෙනත් දිසාවකට හරවා වාසිගන්නව,මේ හාමුදුරුවන් රටේ සත්ය ඉදිරිපත් කලත් කුහකත්වය පිරි අශීලාචාර ත්රස්තවාදී ඒවා වෙනත් දිසාවකට හරවා වාසිගන්නව,NORMAL,0,0,1,
මේකට පිස්සු  කසිප්පුවා,මේකට පිස්සු කසිප්පුවා,HATE,1,0,0,
Maya ganagediyata gala paanapiyaw.....,Maya ganagediyata gala paanapiyaw,NORMAL,0,0,1,
ඤානසරයා ඔබතමයි ජතිවදය අවුස්සන්න මෙකා ගෑනුතියාගන බීල  කලකනි සරයා,ඤානසරයා ඔබතමයි ජතිවදය අවුස්සන්න මෙකා ගෑනුතියාගන බීල කලකනි සරයා,HATE,1,0,0,
මු තමයි මහ මොළ කරු,මු තමයි මහ මොළ කරු,NORMAL,0,0,1,
"මේ වැදිබන වලට කාලයක් අපිත් රැවටුනා පස්සෙනෙ දැක්කේ ඔබ වහන්සේලා මන්ත්‍රී තනතුරු වලට මරාගත්තු හැට් , පාතාල සබදකම් ආදිය කොහොම උනත් එකක් ස්තිරයි අනුරගේ නායකත්වය රටට තියෙනකම් මොනම ආකාරයේ ජාතිවාද ආයේ නැගිටිනවා බොරු",මේ වැදිබන වලට කාලයක් අපිත් රැවටුනා පස්සෙනෙ දැක්කේ ඔබ වහන්සේලා මන්ත්රී තනතුරු වලට මරාගත්තු හැට් පාතාල සබදකම් ආදිය කොහොම උනත් එකක් ස්තිරයි අනුරගේ නායකත්වය රටට තියෙනකම් මොනම ආකාරයේ ජාතිවාද ආයේ නැගිටිනවා බොරු,NORMAL,0,0,1,
අනෙ..පලයන්....තොපි තමයි...ගොටත්..එකතූවෙලා..ගහපුමුලුරටම..දන්නවා,අනෙපලයන්තොපි තමයිගොටත්එකතූවෙලාගහපුමුලුරටමදන්නවා,HATE,1,0,0,
මේ ආන්ඩුවවත් රැකගමු නේද ?,මේ ආන්ඩුවවත් රැකගමු නේද,NORMAL,0,0,1,
Ane අපට pau පුරවන්න Apa හාමුදුරුවනේ,Ane අපට pau පුරවන්න Apa හාමුදුරුවනේ,NORMAL,0,0,1,
"ඉතින් නාමලයය් මය්නත් එක්කතොය ඉන්නේ කුඩ්ඩෝ..පාතාල කාරයෝ..හොරු, ඕන තරම්...නාමලයනම් කිව්වේ පොලිස් වාර්තා බලලා නෙවෙය් පොටෝ ගහන්නේ කියලා..අනේ බය්යෝ..😂😂",ඉතින් නාමලයය් මය්නත් එක්කතොය ඉන්නේ කුඩ්ඩෝපාතාල කාරයෝහොරු ඕන තරම්නාමලයනම් කිව්වේ පොලිස් වාර්තා බලලා නෙවෙය් පොටෝ ගහන්නේ කියලාඅනේ බය්යෝ,NORMAL,0,0,1,
Ane Pala pissu hutta rata ginitiyanne natuva,Ane Pala pissu hutta rata ginitiyanne natuva,HATE,1,0,0,pissu
Aththhoyhlko vivcnya nethuwa,Aththhoyhlko vivcnya nethuwa,NORMAL,0,0,1,
චීවර දාරීන් කියන්නේ මෙන්න මෙි අයට බලාගන්න,චීවර දාරීන් කියන්නේ මෙන්න මෙි අයට බලාගන්න,NORMAL,0,0,1,
ඇත්තටම නායයන දවස්වල ඔබ වහන්සේ කොහෙද හිටියෙ,ඇත්තටම නායයන දවස්වල ඔබ වහන්සේ කොහෙද හිටියෙ,NORMAL,0,0,1,
ඔචිචර කියවන්න ඔුනෙ නෑ වහාම ගිහින් නඩුදාන්න බොරැ මාද්‍යසංදර්ශන දාන්න ඔුනි නෑ,ඔචිචර කියවන්න ඔුනෙ නෑ වහාම ගිහින් නඩුදාන්න බොරැ මාද්යසංදර්ශන දාන්න ඔුනි නෑ,NORMAL,0,0,1,
නීතිය සාධාරණ නම් රජකාලයේ වගේ දැන් ආගම් අනවශ්‍ය යි.ඛල්ලාගේ වැඩේ බූරුවන් බාරගන්න එපෝ!,නීතිය සාධාරණ නම් රජකාලයේ වගේ දැන් ආගම් අනවශ්ය යිඛල්ලාගේ වැඩේ බූරුවන් බාරගන්න එපෝ,NORMAL,0,0,1,
අනේ.බොරැ.කෙලින්න.එපා.පිටරට..සෙල්ලං.මෙහේ.නැහ❤❤,අනේබොරැකෙලින්නඑපාපිටරටසෙල්ලංමෙහේනැහ,HATE,1,0,0,
Hand une   oba kauda kiaya api dannawa  oya pukadennathuwa  banak kiyagena pansala balaganna,Hand une oba kauda kiaya api dannawa oya pukadennathuwa banak kiyagena pansala balaganna,NORMAL,0,0,1,
"වෙන රජයකට මේවා කිවා නම් ,කෑලිවත් හොයන්ට බැරිවෙනවා.",වෙන රජයකට මේවා කිවා නම් කෑලිවත් හොයන්ට බැරිවෙනවා,NORMAL,0,0,1,
ආපො නොදකින්  මෙ කාලකන්නියා ආයෙත් රට කන්න හදනවා උබලට බනක් බාවනාවක් කරගෙන ඉන්න බැරිද සංඝයො උබලට හොද හොරා කන උන්ම තමයි මෙකා රට ගිනි තියන ජරාම  හනුමෙක් දන්නෙ නැති දෙවල් කියලනෙ උබ රට ගිනි තියන්නෙ,ආපො නොදකින් මෙ කාලකන්නියා ආයෙත් රට කන්න හදනවා උබලට බනක් බාවනාවක් කරගෙන ඉන්න බැරිද සංඝයො උබලට හොද හොරා කන උන්ම තමයි මෙකා රට ගිනි තියන ජරාම හනුමෙක් දන්නෙ නැති දෙවල් කියලනෙ උබ රට ගිනි තියන්නෙ,NORMAL,0,0,1,
😂😂😂😂Gobba 😂😂thuuuu,Gobba thuuuu,NORMAL,0,0,1,
ඉතින් ඕවා ගැන පැමිනිලි කරන්න,ඉතින් ඕවා ගැන පැමිනිලි කරන්න,NORMAL,0,0,1,
Ayeth patangaththada jathiwadaya awssanna.Rajapakshalata kade yana ganagediya.,Ayeth patangaththada jathiwadaya awssannaRajapakshalata kade yana ganagediya,NORMAL,0,0,1,
Ayi ithin unge anduwa kale mewa pennala eyalawa hirata demma naththe. Aduma gane me anduwa chande illanakotawath owa pananna thibuna na.nikam nboruwa wapuranna epa,Ayi ithin unge anduwa kale mewa pennala eyalawa hirata demma naththe Aduma gane me anduwa chande illanakotawath owa pananna thibuna nanikam nboruwa wapuranna epa,HATE,1,0,0,
Maya naduwak,Maya naduwak,NORMAL,0,0,1,
Obawahansa.oyagana.dannawanm.mapamanakal.aliyata.nodamma.ai.maka.adikarana.naduwa.adikaranata.bagain.obatman.guganna.natuwa.enna.ma.anduwa.awella.auruddai.oita.kaline.allanna.tibuna.na.,Obawahansaoyaganadannawanmmapamanakalaliyatanodammaaimakaadikarananaduwaadikaranatabagainobatmangugannanatuwaennamaanduwaawellaauruddaioitakalineallannatibunana,HATE,1,0,0,
"අනේ බත් බැලයො තොපේ නාට්‍ය අපි දන්නවා, තොපි තමයි මයිනට පාස්කු ඇටෑක් එකට පාර කපලා දුන්නේ ජාතිවාදෙ වපුරලා කාලකණ්ණියා, තොට සිවුරු ගලවලා ප්‍රසිද්ධියේ තලන්න ඕනෑ 😡😡😡😡😡😡",අනේ බත් බැලයො තොපේ නාට්ය අපි දන්නවා තොපි තමයි මයිනට පාස්කු ඇටෑක් එකට පාර කපලා දුන්නේ ජාතිවාදෙ වපුරලා කාලකණ්ණියා තොට සිවුරු ගලවලා ප්රසිද්ධියේ තලන්න ඕනෑ,HATE,1,0,0,ඕනෑ
Oya inne nanasarayage ammata hamanapu eka,Oya inne nanasarayage ammata hamanapu eka,HATE,1,0,0,
Thopi jathiwadi api hamoma minisun asaraya karanawa,Thopi jathiwadi api hamoma minisun asaraya karanawa,HATE,1,0,0,
Muthama rate vinasa  mu mahasangaya awstha wadi goda yanna denne nethi kala kanniyo,Muthama rate vinasa mu mahasangaya awstha wadi goda yanna denne nethi kala kanniyo,HATE,1,0,0,denne
මේ පරයට ජාතිවාදය ඇර වෙන දෙයක් නෑ... මූ මොකාට ජාතක උනාද දන්නෑ...,මේ පරයට ජාතිවාදය ඇර වෙන දෙයක් නෑ මූ මොකාට ජාතක උනාද දන්නෑ,NORMAL,0,0,1,
Jayhiwadaya awussanna ranil rajapakshalagen kiosk gaththada ara piyathumekuta gahapu ewath  mewagema kali thamai,Jayhiwadaya awussanna ranil rajapakshalagen kiosk gaththada ara piyathumekuta gahapu ewath mewagema kali thamai,HATE,1,0,0,
Muslim minissu newe parkway gahuwe Muslim anthawadeen pawichchi kara basil  rajapaksha,Muslim minissu newe parkway gahuwe Muslim anthawadeen pawichchi kara basil rajapaksha,HATE,1,0,0,minissu
Ane muge boru mu kiwwa kisideyak une ne boruwata rajapaksalata chanda hadanawa,Ane muge boru mu kiwwa kisideyak une ne boruwata rajapaksalata chanda hadanawa,HATE,1,0,0,boru
Ona awlla jayhiwadaya awussanna meka danma stimulate danna ona,Ona awlla jayhiwadaya awussanna meka danma stimulate danna ona,NORMAL,0,0,1,
Pala pala hanging idala  eliyata  Bahala,Pala pala hanging idala eliyata Bahala,NORMAL,0,0,1,
මු හොදයි රට ගිනි තියන්න..ඉතින් බන් උඹලගෙ ආන්ඩුවනෙ අවුරුදු ගානක් තිබුනෙ අල්ලගෙන හිරේ දාන්නනෙ තිබුනෙ.ඇයි  මෙච්චර කල් බලාගෙන හිටියෙ.,මු හොදයි රට ගිනි තියන්නඉතින් බන් උඹලගෙ ආන්ඩුවනෙ අවුරුදු ගානක් තිබුනෙ අල්ලගෙන හිරේ දාන්නනෙ තිබුනෙඇයි මෙච්චර කල් බලාගෙන හිටියෙ,NORMAL,0,0,1,
"😮😮😮😮😮
Ayyo samey",Ayyo samey,NORMAL,0,0,1,
ඔයාලගෙ ආන්ඩු තිබිල විසදුවද ඕව,ඔයාලගෙ ආන්ඩු තිබිල විසදුවද ඕව,NORMAL,0,0,1,
mඑකා නම් අම්බරුවෙක් බව 2009 සිට ජනයා දන්නවනේ .,mඑකා නම් අම්බරුවෙක් බව 2009 සිට ජනයා දන්නවනේ,NORMAL,0,0,1,
HAMUDURUWO MHANAWELA BANAKIYANNA AKA HODAI,HAMUDURUWO MHANAWELA BANAKIYANNA AKA HODAI,HATE,1,0,0,
