Original Comment,Cleaned Comment,Label,Hate,Disinfo,Normal,Hate Words
Ditta suli kunatuwan takaramak giyath laksa 1000000 danawa kiuwa wagada anura kumara mahaththayo arthikaya wardanaya wanne,Ditta suli kunatuwan takaramak giyath laksa 1000000 danawa kiuwa wagada anura kumara mahaththayo arthikaya wardanaya wanne,DISINFO,0,1,0,
Namal thopi me rata vinashama kara.lajja nathiwa thawath katha karanawa kudu karaya.thope paulata hena gahanawa.,Namal thopi me rata vinashama karalajja nathiwa thawath katha karanawa kudu karayathope paulata hena gahanawa,HATE,1,0,0,
සක්කිලි රාජපක්ෂ ල එළියේ තියා ගෙන කුප්ප කතා අහනවා,සක්කිලි රාජපක්ෂ ල එළියේ තියා ගෙන කුප්ප කතා අහනවා,HATE,1,0,0,සක්කිලි
Namolaya gona,Namolaya gona,HATE,1,0,0,gona
Horak adanawa,Horak adanawa,NORMAL,0,0,1,
Namal mahaththya oya boruwa ke Gahanna apa oya kiyana dewal minissu piliganne neee😅😅😅,Namal mahaththya oya boruwa ke Gahanna apa oya kiyana dewal minissu piliganne neee,HATE,1,0,0,minissu
සාටක පරම්පරාව නම් අවුරුදු 65කට නෙවෙයි අවුරුදු සීයකටම පාලනය කරපු කාලයේ ධනය හොයා ගත්ත. රට බංකොල්ලොත් කරලා ඉවරවෙලා තවත් රට පාලනය කරන්න බලේ ඉල්ලනවා.,සාටක පරම්පරාව නම් අවුරුදු 65කට නෙවෙයි අවුරුදු සීයකටම පාලනය කරපු කාලයේ ධනය හොයා ගත්ත රට බංකොල්ලොත් කරලා ඉවරවෙලා තවත් රට පාලනය කරන්න බලේ ඉල්ලනවා,DISINFO,0,1,0,
Any buruwa namal bLa,Any buruwa namal bLa,HATE,1,0,0,buruwa
"මේ කථාව අහගන්න
හොඳට ඉගෙනගන්න
නාමල් මහත්මයා
👀👀👀👀👀👀👀👀",මේ කථාව අහගන්න හොඳට ඉගෙනගන්න නාමල් මහත්මයා,NORMAL,0,0,1,
ලස්සන හීනෙක ඉන්න නාමල් ..🫢,ලස්සන හීනෙක ඉන්න නාමල්,NORMAL,0,0,1,
Namolayata janadipathii sihinayen Maru kiyawanawa.mahajanathawa munta Aya rawatennai na.,Namolayata janadipathii sihinayen Maru kiyawanawamahajanathawa munta Aya rawatennai na,NORMAL,0,0,1,
මේකනම් මහ මීී හරකෙක් තොපේ තාත්තලා බාප්පලා කරපුවා තමයි යකෝ මේ ගෙවන්නේ මුගෙ දත් දෙක කඩන්න විදියක් නෑනේ,මේකනම් මහ මීී හරකෙක් තොපේ තාත්තලා බාප්පලා කරපුවා තමයි යකෝ මේ ගෙවන්නේ මුගෙ දත් දෙක කඩන්න විදියක් නෑනේ,HATE,1,0,0,දත්
අම්මෝ නාමල්ටනම් තනිකරම පිස්සු හැදිල ඉන්නෙ .,අම්මෝ නාමල්ටනම් තනිකරම පිස්සු හැදිල ඉන්නෙ,HATE,1,0,0,
Niyamai AKD❤🔥,Niyamai AKD,NORMAL,0,0,1,
Yako.tho.dan.ratahadanna.thogan.danuma.ganna.onada.thota.hambaway.balagana.hitapiya.,Yakothodanratahadannathogandanumagannaonadathotahambawaybalaganahitapiya,HATE,1,0,0,
නාමල කතා කරන්නේ මැරිලා උපදිලා වගේ කාලකන්නියස්,නාමල කතා කරන්නේ මැරිලා උපදිලා වගේ කාලකන්නියස්,HATE,1,0,0,වගේ
ඔබට  රට දෙන්නේ කවුද කවුරුහරි  ලියලා දුන් දෙයක් කට පාඩමෙන් කියවනවා  මෝඩ හරකෙක්  දන්න දෙයක් නෑ ඔබලා ගේ පරමි පරවට තිබුනේ වහල් කම විතරයි,ඔබට රට දෙන්නේ කවුද කවුරුහරි ලියලා දුන් දෙයක් කට පාඩමෙන් කියවනවා මෝඩ හරකෙක් දන්න දෙයක් නෑ ඔබලා ගේ පරමි පරවට තිබුනේ වහල් කම විතරයි,NORMAL,0,0,1,
Ane wadinnam me rata Dan hodata yanava .Aya nam Enna epa thope ekek wath,Ane wadinnam me rata Dan hodata yanava Aya nam Enna epa thope ekek wath,NORMAL,0,0,1,
Namal tho ayeth ennada hadanne rata winasa karanna,Namal tho ayeth ennada hadanne rata winasa karanna,HATE,1,0,0,karanna
"2.5 National Lister, Namal Rajapaksa.  Talk some thing worth.  Don't try to sabotage.  
Remember, NPP Government is elected by majority of us.  
Stop barking mad!",25 National Lister Namal Rajapaksa Talk some thing worth Dont try to sabotage Remember NPP Government is elected by majority of us Stop barking mad,NORMAL,0,0,1,
Thopie horakam jarapu hinda thaime srivlankawata ohamaxunay thopita no vote,Thopie horakam jarapu hinda thaime srivlankawata ohamaxunay thopita no vote,NORMAL,0,0,1,
Ow ow thota thamai diyunu karanna puluwan.thoge thaththai thoge bappai 20years with Ara me karala thiyenne.ekane mechchara Naya une rata. Minissu pahalata wetune  mechchara.thopi hora kala kala.pana pitin thopi yamapallo edan yanakan API balan enne.thope lamain tath hena gahanawa.balaw.hora kapu ewa Dan wath deepiyawu.para haththa.ammo  namola yage parinatha kama.hal l  pol l gathama w ena mukuth karanna b,Ow ow thota thamai diyunu karanna puluwanthoge thaththai thoge bappai 20years with Ara me karala thiyenneekane mechchara Naya une rata Minissu pahalata wetune mechcharathopi hora kala kalapana pitin thopi yamapallo edan yanakan API balan ennethope lamain tath hena gahanawabalawhora kapu ewa Dan wath deepiyawupara haththaammo namola yage parinatha kamahal l pol l gathama w ena mukuth karanna b,DISINFO,0,1,0,
Fackar you are mother fuckar namole,Fackar you are mother fuckar namole,NORMAL,0,0,1,
",, රාජපක්ෂ පවුල රට කාලා දැන් එනවද රට හදන්න",රාජපක්ෂ පවුල රට කාලා දැන් එනවද රට හදන්න,NORMAL,0,0,1,
Ane moda pakayo tho katha karana kota apita thoge buru kama penawa .,Ane moda pakayo tho katha karana kota apita thoge buru kama penawa,HATE,1,0,0,"moda, pakayo, buru, kama"
Minimaru.  Anura.  Paraballa. Katawahapiya. Musalaya. Kupadita. 88. 89.  Minimaruwa,Minimaru Anura Paraballa Katawahapiya Musalaya Kupadita 88 89 Minimaruwa,HATE,1,0,0,"Paraballa, Musalaya, Kupadita"
Ganichche thaththala puthala,Ganichche thaththala puthala,NORMAL,0,0,1,
"අනේහොර..කාඩබල්ලෝ..තොපේ...පාහර..බල්ලොමේරටම...සුංකරල..දැන්..නෑමොලේ...ගොංඅලිය..මේරට..විනාස..කරපුහොර..හැත්ත..එනව..අතිගරු..ජනාධිපති .......උතුමාට..රටකනහැටි..කියන්නගොංනාම්බෝ...උබලගෙහොරකන්ඩායම..මේරටම...හොරාකාලතෝද..ඉන්..එකහොරෙක්..ඒකාලෙ...උබලගෙකෙරුම්..උබලටදැන්.......අමතකවෙලා.
වගේ...අනේහුත්තෝ",අනේහොරකාඩබල්ලෝතොපේපාහරබල්ලොමේරටමසුංකරලදැන්නෑමොලේගොංඅලියමේරටවිනාසකරපුහොරහැත්තඑනවඅතිගරුජනාධිපති උතුමාටරටකනහැටිකියන්නගොංනාම්බෝඋබලගෙහොරකන්ඩායමමේරටමහොරාකාලතෝදඉන්එකහොරෙක්ඒකාලෙඋබලගෙකෙරුම්උබලටදැන්අමතකවෙලා වගේඅනේහුත්තෝ,DISINFO,0,1,0,
උඹලගේ ආන්ඩුව තියෙද්දි ග රැඩිකල් තින්දු ගත්තනම් ලන්කාව සින්ගප්පුරුවක් කරන්න තිබ්බා. ප.........යා.,උඹලගේ ආන්ඩුව තියෙද්දි ග රැඩිකල් තින්දු ගත්තනම් ලන්කාව සින්ගප්පුරුවක් කරන්න තිබ්බා පයා,NORMAL,0,0,1,
"Anura  Sahodaraya that chap only shouting trying  to  show that he 
Knows  about politics because his father and  his family stole SL  public wealth. That’s  the only qualification he has.
He has not earn any money  except
Via back door  ( not from public)
came to parliament.
He should go back to nursery and lead to decent life.",Anura Sahodaraya that chap only shouting trying to show that he Knows about politics because his father and his family stole SL public wealth Thats the only qualification he has He has not earn any money except Via back door not from public came to parliament He should go back to nursery and lead to decent life,DISINFO,0,1,0,
"Namo..ubata.kiyana.dayak.na....ubala.kawa
Rata....bapa..potaya.basil.kaputa..kakulwa.wahpnkata..thohagay.rada..",Namoubatakiyanadayaknaubalakawa Ratabapapotayabasilkaputakakulwawahpnkatathohagayrada,HATE,1,0,0,
menna janadi petelaa,menna janadi petelaa,NORMAL,0,0,1,
"රට විනාශම කරලා කරලා දැන් කතාකරන හැටි, ලැජ්ජයි නාමල්, ලැජ්ජයි.",රට විනාශම කරලා කරලා දැන් කතාකරන හැටි ලැජ්ජයි නාමල් ලැජ්ජයි,NORMAL,0,0,1,
ජනාධිපති තුමාට  බුදුසරණ ❤,ජනාධිපති තුමාට බුදුසරණ,NORMAL,0,0,1,
Ane namel oyita kalin hitnnna tibunne,Ane namel oyita kalin hitnnna tibunne,HATE,1,0,0,
මූට මොන්ගල්ද කවුද උබලට රට දෙන්නේ,මූට මොන්ගල්ද කවුද උබලට රට දෙන්නේ,HATE,1,0,0,
ඩෝබිලඩ බෝනස් වගේ,ඩෝබිලඩ බෝනස් වගේ,HATE,1,0,0,වගේ
හිරු එකේ වැඩ්ඩෝ තමා නාමලයා. නොදකින් මූසlaya,හිරු එකේ වැඩ්ඩෝ තමා නාමලයා නොදකින් මූසlaya,HATE,1,0,0,
ජනපති අප ඔබ සමගයි.,ජනපති අප ඔබ සමගයි,NORMAL,0,0,1,
Thota balayanam denne hora padanguwa,Thota balayanam denne hora padanguwa,HATE,1,0,0,"denne, hora, padanguwa"
"Namole you waste Government precious time.
Namole you did not enter parliament by  SL  public instead opposition MP s",Namole you waste Government precious time Namole you did not enter parliament by SL public instead opposition MP s,DISINFO,0,1,0,
මුන්  මරන්න  ඕනෑ හිටුවා පස් ගහලා  .පට්‍ට පල් නීල කාස කම්බ හොරු තුක් නොදකින් කාලකණ්ණි තිරිසන් පව්කාර හැත්ත රට ජාතීය වළපල්ලට ඇදලා දාපූ පරපෝෂිතයෝ තුක් නොදකින් .,මුන් මරන්න ඕනෑ හිටුවා පස් ගහලා පට්ට පල් නීල කාස කම්බ හොරු තුක් නොදකින් කාලකණ්ණි තිරිසන් පව්කාර හැත්ත රට ජාතීය වළපල්ලට ඇදලා දාපූ පරපෝෂිතයෝ තුක් නොදකින්,HATE,1,0,0,"මරන්න, ඕනෑ, ගහලා, කාලකණ්ණි, තිරිසන්, පරපෝෂිතයෝ"
අසික්කිත විදිහට බදු ගහලා වියාපාර ගොඩ ගන්න බැ මෙවර බදු මුදල් ලොකුවට ලැබිලා ඇති.. මිනිස්සු වියාපාර අතහැරලා දැම්මම.. උඩ බලන් ඉන්න wei.. බදු අය කිරීම ක්‍රමනු කුලව කරන්න..,අසික්කිත විදිහට බදු ගහලා වියාපාර ගොඩ ගන්න බැ මෙවර බදු මුදල් ලොකුවට ලැබිලා ඇති මිනිස්සු වියාපාර අතහැරලා දැම්මම උඩ බලන් ඉන්න wei බදු අය කිරීම ක්රමනු කුලව කරන්න,DISINFO,0,1,0,
A..k..d❤❤❤❤❤❤❤❤,Akd,NORMAL,0,0,1,
"Namal harima hondata paule
Paramparwema 
Ugath kama hondata helidarau 
Karanawa

Munge paulama
Pasalakata wahi
Welawakataeath
Giya Nathi baw
Pennawa",Namal harima hondata paule Paramparwema Ugath kama hondata helidarau Karanawa Munge paulama Pasalakata wahi Welawakataeath Giya Nathi baw Pennawa,HATE,1,0,0,kama
Chandrika medam karanna  ona de kala kiyanna ona de kiwa.,Chandrika medam karanna ona de kala kiyanna ona de kiwa,NORMAL,0,0,1,
"Me balla hariyata katha karanne anduwa aurudu 10 ,20 k giya wage.mu harak kstha kiyala monawada balapiroththu wenne.",Me balla hariyata katha karanne anduwa aurudu 10 20 k giya wagemu harak kstha kiyala monawada balapiroththu wenne,HATE,1,0,0,"balla, harak"
Kuda ban arthika gathakaya une usaviyedi.,Kuda ban arthika gathakaya une usaviyedi,HATE,1,0,0,
"ඒ ක  ඒ කාලේ.
තවම 2026 .
2030 ට තව කල් තියනවා. හදිස්සි නැතිව යමු හොඳේ.
හාවාගෙයි ඉබ්බාගෙ යි කතාව දන්නවද ඇතිනේ.",ඒ ක ඒ කාලේ තවම 2026 2030 ට තව කල් තියනවා හදිස්සි නැතිව යමු හොඳේ හාවාගෙයි ඉබ්බාගෙ යි කතාව දන්නවද ඇතිනේ,NORMAL,0,0,1,
පල හොර අප්පච්චි කෙලිය රටට අපේ සල්ලි සේරම විනස කලා රට ගින්නෙක් කරලා දමලා උන්ගේ බැ න්කු පොරෝගෙන සල්ලි මුතු මැ නික් රත්තරන් ඒක මිසෙකු ට මොනාද තොපි කාලේ දැන් එනවා බයි ලා කියන්න,පල හොර අප්පච්චි කෙලිය රටට අපේ සල්ලි සේරම විනස කලා රට ගින්නෙක් කරලා දමලා උන්ගේ බැ න්කු පොරෝගෙන සල්ලි මුතු මැ නික් රත්තරන් ඒක මිසෙකු ට මොනාද තොපි කාලේ දැන් එනවා බයි ලා කියන්න,DISINFO,0,1,0,
Namal gotayo ube oi bana gadar gihin kiyaganin balla,Namal gotayo ube oi bana gadar gihin kiyaganin balla,HATE,1,0,0,"ube, balla"
උබලා තමයි රටට ඩොලර් එවන්න ඇපා කියලා කව්වේ 22අන්ඩුවේ කාලයේ උබලා තමයි අර්ථිකය බිංදුවට වට්ටන්න වැඩ  වර්ජනය කරන්න රටේ විනාසකරපු කාලකන්නි වාහාල්ලු ජෙප්පපෝ,උබලා තමයි රටට ඩොලර් එවන්න ඇපා කියලා කව්වේ 22අන්ඩුවේ කාලයේ උබලා තමයි අර්ථිකය බිංදුවට වට්ටන්න වැඩ වර්ජනය කරන්න රටේ විනාසකරපු කාලකන්නි වාහාල්ලු ජෙප්පපෝ,DISINFO,0,1,0,
ගූ ජෙපි කාලකන්නි සල්ලි එවන්න එපා කියපු හැත්ත,ගූ ජෙපි කාලකන්නි සල්ලි එවන්න එපා කියපු හැත්ත,HATE,1,0,0,"ගූ, කාලකන්නි"
Tope paramparawama rata kala tope naya epita una pol buruwa gon namal.,Tope paramparawama rata kala tope naya epita una pol buruwa gon namal,HATE,1,0,0,"pol, buruwa, gon"
Thopi rate mudal horakala dan pacha kelinawa febarawari 16 kris naduwa miliyana 70 redderewila  inne gothayage,Thopi rate mudal horakala dan pacha kelinawa febarawari 16 kris naduwa miliyana 70 redderewila inne gothayage,DISINFO,0,1,0,
ubala hora kapu hetiyata ethi ohomawath tiyenawa,ubala hora kapu hetiyata ethi ohomawath tiyenawa,NORMAL,0,0,1,
මුන් කතා කරන්නෙ උන්ගෙ ආන්ඩූවෙන් පොසොන රටක් කලා වගෙ ඔය බොරු කියන කට කපන්න ඕන තුනට හතරට ඔය කටෙ පනුවො ගහල තමයි මැරෙන්නෙ පල් හොරු ටික දැන් එනව රට හදන්න   බොරු කිය කිය මිනිස්සුන්ගෙ ඔලුවට විෂබිජ දාන්නැතිව පාඩූවෙ ඉදපන් නෑමල් ජනාධිපතිතූමා විවසිමෙන් තාමත් වැඩ කරන්නෙ රට හොරා කාල කාල දැන් ජනාධිපතිතුමා යන්තන් ගොඩගන්න උත්සහ ගන්නකොට මුන්ට එව දරාගන්න බෑ කියන රගෙ බලපල්ලකො ඔහොම යන් මම එහෙම නමි මුගෙ කට කපනව රගන රැගිල්ලට මුන් ලංකාවට ආදරෙ නැත්තෙ මුන් රොඩ් එකයි ජනාධිපතිතුමාට ජයවෙවා,මුන් කතා කරන්නෙ උන්ගෙ ආන්ඩූවෙන් පොසොන රටක් කලා වගෙ ඔය බොරු කියන කට කපන්න ඕන තුනට හතරට ඔය කටෙ පනුවො ගහල තමයි මැරෙන්නෙ පල් හොරු ටික දැන් එනව රට හදන්න බොරු කිය කිය මිනිස්සුන්ගෙ ඔලුවට විෂබිජ දාන්නැතිව පාඩූවෙ ඉදපන් නෑමල් ජනාධිපතිතූමා විවසිමෙන් තාමත් වැඩ කරන්නෙ රට හොරා කාල කාල දැන් ජනාධිපතිතුමා යන්තන් ගොඩගන්න උත්සහ ගන්නකොට මුන්ට එව දරාගන්න බෑ කියන රගෙ බලපල්ලකො ඔහොම යන් මම එහෙම නමි මුගෙ කට කපනව රගන රැගිල්ලට මුන් ලංකාවට ආදරෙ නැත්තෙ මුන් රොඩ් එකයි ජනාධිපතිතුමාට ජයවෙවා,DISINFO,0,1,0,
Baby oyata ba kawadawath janapathi wenna patta hora,Baby oyata ba kawadawath janapathi wenna patta hora,NORMAL,0,0,1,
අනේ නිකන් පලයන් පච කොටා යන්න,අනේ නිකන් පලයන් පච කොටා යන්න,NORMAL,0,0,1,
මේ රජය හොඳ වැඩියී... නැතිනම් මේවගේ හොරු මෙච්චර දොඩවන්නේ නැ... දැන ගස්සන්නම් කියපු රජයක් මේක... ඒ දේ කරලා නැ අද වෙනකන්,මේ රජය හොඳ වැඩියී නැතිනම් මේවගේ හොරු මෙච්චර දොඩවන්නේ නැ දැන ගස්සන්නම් කියපු රජයක් මේක ඒ දේ කරලා නැ අද වෙනකන්,NORMAL,0,0,1,
Ubala...radical...karana.......pala...buru...puta....namal....mara...kiyawanwa....boruwata...kghanawa....pisso.....atpolasan..danawa......a..k...d...❤❤❤❤❤❤jayawawa❤❤❤❤❤,Ubalaradicalkaranapalaburuputanamalmarakiyawanwaboruwatakghanawapissoatpolasandanawaakdjayawawa,HATE,1,0,0,
මේ කාලකන්නි මූසල නාමලයා.,මේ කාලකන්නි මූසල නාමලයා,HATE,1,0,0,"කාලකන්නි, මූසල"
Pinata evith dodawanwa  pissu,Pinata evith dodawanwa pissu,HATE,1,0,0,"dodawanwa, pissu"
මේ තොරිසන් නාමලය ජාතික ලැයිස්තුවේන් ඇවිත් මුගේ ලොකු ටොක් බ්ලපල්ලකො මුට ගහලා එලවන්න ඔතන කවුරුත්  නැහැනේ,මේ තොරිසන් නාමලය ජාතික ලැයිස්තුවේන් ඇවිත් මුගේ ලොකු ටොක් බ්ලපල්ලකො මුට ගහලා එලවන්න ඔතන කවුරුත් නැහැනේ,NORMAL,0,0,1,
සාටකයා මරැ කියවනව. උන් ආණ්ඩුව කලා නම් උන්.දියුණු වෙයි අපිට දුක්විදින්න  වෙයි තියෙන මියෙනා තුරැ..,සාටකයා මරැ කියවනව උන් ආණ්ඩුව කලා නම් උන්දියුණු වෙයි අපිට දුක්විදින්න වෙයි තියෙන මියෙනා තුරැ,NORMAL,0,0,1,
ඇ බන් උබලා පොල් ගැවද උබලා බලේ හිටිය නේද එතකොට මොලේ තිබ්බේ හොරා කන්න විතරද,ඇ බන් උබලා පොල් ගැවද උබලා බලේ හිටිය නේද එතකොට මොලේ තිබ්බේ හොරා කන්න විතරද,HATE,1,0,0,මොලේ
Good Anurakumara,Good Anurakumara,NORMAL,0,0,1,
"වචනයක් කයනවනම් එය ඔප්පු කරන්ඩ  පුළුවන් වියයුතුයි,රට දාලගිය එක ආයෝජකයකුගැන  නාමල්ට කියන්ඩ බැරිවුනානෙ,ජනාධිපති එක්ක බොරු කතා කියල නාමල්ට බේරෙන්ඩ බෑ.",වචනයක් කයනවනම් එය ඔප්පු කරන්ඩ පුළුවන් වියයුතුයිරට දාලගිය එක ආයෝජකයකුගැන නාමල්ට කියන්ඩ බැරිවුනානෙජනාධිපති එක්ක බොරු කතා කියල නාමල්ට බේරෙන්ඩ බෑ,NORMAL,0,0,1,
Namal heluwen..😅😅😅😅😅,Namal heluwen,HATE,1,0,0,heluwen
maka pissak namalya,maka pissak namalya,HATE,1,0,0,pissak
ඔය සාටකයා කනෙන් අල්ලලා එලියට දාන්න ජනාධිපතිතුමනි 😅,ඔය සාටකයා කනෙන් අල්ලලා එලියට දාන්න ජනාධිපතිතුමනි,HATE,1,0,0,"කනෙන්, අල්ලලා, එලියට, දාන්න"
අනුර. මහත්තය ඕවට උත්තර උවමනා නෑ. රට කරගෙක යන්ඩ.,අනුර මහත්තය ඕවට උත්තර උවමනා නෑ රට කරගෙක යන්ඩ,NORMAL,0,0,1,
චන්දෙන් දිනල පාඒලිමේන්තුවට ආවනං,චන්දෙන් දිනල පාඒලිමේන්තුවට ආවනං,NORMAL,0,0,1,
Jathika laistuwen awa muge pada show.reddai rewenawa namolai,Jathika laistuwen awa muge pada showreddai rewenawa namolai,NORMAL,0,0,1,
නාමල් ඔය සාටකයේ බෙල්ලෙ වැල දාගනින්,නාමල් ඔය සාටකයේ බෙල්ලෙ වැල දාගනින්,HATE,1,0,0,"බෙල්ලෙ, වැල, දාගනින්"
රටේ සල්ලි හොරා කාපු නෑ මොළය අධෝමුබයෙන් කතාකරයි,රටේ සල්ලි හොරා කාපු නෑ මොළය අධෝමුබයෙන් කතාකරයි,HATE,1,0,0,නෑ
"මේ ගොන් කොල්ලට කවුද මේ කියලා දෙන්නේ,",මේ ගොන් කොල්ලට කවුද මේ කියලා දෙන්නේ,NORMAL,0,0,1,
Niyamai janadipathi thuma❤,Niyamai janadipathi thuma,NORMAL,0,0,1,
A kariyo thopea anduwala  ratea diunuwata  wadak kalada kariyo  thopita  andu  karanna  labennea nea,A kariyo thopea anduwala ratea diunuwata wadak kalada kariyo thopita andu karanna labennea nea,HATE,1,0,0,"kariyo, wadak, karanna"
නෑ මොලය කථා නැහැ මූ ලිස්ට් එකෙන් ඇවිත් මාර සෝබන පෙන්වනවා.  මොන්ගල් නෑ මොලයා,නෑ මොලය කථා නැහැ මූ ලිස්ට් එකෙන් ඇවිත් මාර සෝබන පෙන්වනවා මොන්ගල් නෑ මොලයා,HATE,1,0,0,"නෑ, නැහැ, මොන්ගල්"
පොඩි මයිනා මරු කියවනවා මෙක කලා කලා පව් ඔයි.,පොඩි මයිනා මරු කියවනවා මෙක කලා කලා පව් ඔයි,NORMAL,0,0,1,
යකෝ ජන්දේ ඉල්ලල වරෙන් කතාකරන්න මු අමු ගවයේක්,යකෝ ජන්දේ ඉල්ලල වරෙන් කතාකරන්න මු අමු ගවයේක්,HATE,1,0,0,අමු
තබුත්තේගම.රංබන්ඩා.ජාතක.කරපු.පුතා.රටට.කෙලපු.ත්‍රස්තවාදියෙක්..මොනව.කිව්වත්.පසුබිමක්.තියෙන්න.ඕනෑ.,තබුත්තේගමරංබන්ඩාජාතකකරපුපුතාරටටකෙලපුත්රස්තවාදියෙක්මොනවකිව්වත්පසුබිමක්තියෙන්නඕනෑ,HATE,1,0,0,
මව පාර්ලිමෙන්කුවට යවපල්ලා හනිවා මහිදගේ කැරි කොල්ලට මුහුණ කුඩුවෙන්න හපතයා හොරා නාමල් වේස පක්ෂ  පර බල්ලා,මව පාර්ලිමෙන්කුවට යවපල්ලා හනිවා මහිදගේ කැරි කොල්ලට මුහුණ කුඩුවෙන්න හපතයා හොරා නාමල් වේස පක්ෂ පර බල්ලා,HATE,1,0,0,"කැරි, පර, බල්ලා"
නාමල් උබ දකින කොට අපිට නිකරුනේ පවු පිරෙනව බං,නාමල් උබ දකින කොට අපිට නිකරුනේ පවු පිරෙනව බං,NORMAL,0,0,1,
තොපි,තොපි,HATE,1,0,0,තොපි
